File,Author,NumCommits
,Gary Tully,17.0
activemq-all,Gary Tully,2.0
activemq-amq-store,Gary Tully,1.0
activemq-amq-store/src/main/java/org/apache/activemq/store/amq,Gary Tully,
activemq-amq-store/src/main/java/org/apache/activemq/store/kahadaptor,Gary Tully,
activemq-amqp,Gary Tully,1.0
activemq-amqp/src/main/java/org/apache/activemq/transport/amqp/transform,Gary Tully,2.0
activemq-amqp/src/main/resources/META-INF/services/org/apache/activemq/transport,Gary Tully,
activemq-amqp/src/test-swiftmq/java/org/apache/activemq/transport/amqp,Gary Tully,
activemq-amqp/src/test/java/org/apache/activemq/transport/amqp,Gary Tully,
activemq-amqp/src/test/java/org/apache/activemq/transport/amqp/joram,Gary Tully,
activemq-amqp/src/test/resources,Gary Tully,
activemq-blueprint,Gary Tully,1.0
activemq-broker,Gary Tully,1.0
activemq-broker/src/main/java/org/apache/activemq/advisory,Gary Tully,1.0
activemq-broker/src/main/java/org/apache/activemq/broker,Gary Tully,2.0
activemq-broker/src/main/java/org/apache/activemq/broker/ft,Gary Tully,
activemq-broker/src/main/java/org/apache/activemq/broker/jmx,Gary Tully,
activemq-broker/src/main/java/org/apache/activemq/broker/region,Gary Tully,3.0
activemq-broker/src/main/java/org/apache/activemq/broker/region/cursors,Gary Tully,2.0
activemq-broker/src/main/java/org/apache/activemq/broker/region/policy,Gary Tully,2.0
activemq-broker/src/main/java/org/apache/activemq/broker/scheduler,Gary Tully,
activemq-broker/src/main/java/org/apache/activemq/broker/util,Gary Tully,1.0
activemq-broker/src/main/java/org/apache/activemq/filter,Gary Tully,1.0
activemq-broker/src/main/java/org/apache/activemq/network,Gary Tully,10.0
activemq-broker/src/main/java/org/apache/activemq/plugin,Gary Tully,
activemq-broker/src/main/java/org/apache/activemq/store,Gary Tully,
activemq-broker/src/main/java/org/apache/activemq/transport,Gary Tully,1.0
activemq-broker/src/main/java/org/apache/activemq/transport/vm,Gary Tully,
activemq-broker/src/main/java/org/apache/activemq/usage,Gary Tully,
activemq-broker/src/main/java/org/apache/activemq/util,Gary Tully,
activemq-broker/src/test/java/org/apache/activemq,Gary Tully,2.0
activemq-broker/src/test/java/org/apache/activemq/store,Gary Tully,3.0
activemq-camel,Gary Tully,1.0
activemq-camel/src/main/java/org/apache/activemq/camel/component,Gary Tully,
activemq-camel/src/test/java/org/apache/activemq/camel/component,Gary Tully,
activemq-client,Gary Tully,1.0
activemq-client/src/main/grammar,Gary Tully,1.0
activemq-client/src/main/java/org/apache/activemq,Gary Tully,6.0
activemq-client/src/main/java/org/apache/activemq/advisory,Gary Tully,1.0
activemq-client/src/main/java/org/apache/activemq/command,Gary Tully,2.0
activemq-client/src/main/java/org/apache/activemq/filter,Gary Tully,
activemq-client/src/main/java/org/apache/activemq/transport,Gary Tully,2.0
activemq-client/src/main/java/org/apache/activemq/transport/discovery/multicast,Gary Tully,1.0
activemq-client/src/main/java/org/apache/activemq/transport/reliable,Gary Tully,
activemq-client/src/main/java/org/apache/activemq/transport/udp,Gary Tully,
activemq-client/src/main/java/org/apache/activemq/util,Gary Tully,1.0
activemq-client/src/test/java/org/apache/activemq/broker/scheduler,Gary Tully,
activemq-client/src/test/java/org/apache/activemq/usage,Gary Tully,
activemq-client/src/test/java/org/apache/activemq/util,Gary Tully,
activemq-client/src/test/resources/ssl,Gary Tully,
activemq-console,Gary Tully,1.0
activemq-console/src/main/java/org/apache/activemq/console/command,Gary Tully,
activemq-console/src/main/java/org/apache/activemq/console/command/store,Gary Tully,
activemq-console/src/main/java/org/apache/activemq/console/command/store/amq/reader,Gary Tully,
activemq-console/src/main/java/org/apache/activemq/console/filter,Gary Tully,
activemq-console/src/main/java/org/apache/activemq/console/util,Gary Tully,
activemq-console/src/test/java/org/apache/activemq/leveldb,Gary Tully,
activemq-core,Gary Tully,7.0
activemq-core/src/main/grammar,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/broker,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/broker/jmx,Gary Tully,2.0
activemq-core/src/main/java/org/apache/activemq/broker/region,Gary Tully,3.0
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/broker/region/policy,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/broker/scheduler,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/broker/util,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/command,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/filter,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/jndi,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/kaha,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/kaha/impl/async,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/kaha/impl/container,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/kaha/impl/data,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/network,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/plugin,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/security,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/state,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/store,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/store/amq,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/store/jdbc,Gary Tully,3.0
activemq-core/src/main/java/org/apache/activemq/store/jdbc/adapter,Gary Tully,1.0
activemq-core/src/main/java/org/apache/activemq/store/journal,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/store/kahadaptor,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/store/kahadb,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/store/kahadb/plist,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/store/kahadb/scheduler,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/store/memory,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/transport,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/transport/discovery/simple,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/transport/discovery/zeroconf,Gary Tully,1.0
activemq-core/src/main/java/org/apache/activemq/transport/mqtt,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/transport/nio,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/transport/stomp,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/transport/tcp,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/transport/udp,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/transport/vm,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/usage,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/util,Gary Tully,
activemq-core/src/main/java/org/apache/activemq/xbean,Gary Tully,
activemq-core/src/main/java/org/apache/kahadb/util,Gary Tully,
activemq-core/src/test/java/org/apache/activemq,Gary Tully,2.0
activemq-core/src/test/java/org/apache/activemq/advisory,Gary Tully,
activemq-core/src/test/java/org/apache/activemq/broker,Gary Tully,1.0
