File,SLOC,Comments,Ratio_code_comment,McCabe,NumFiles,Ownership_Lines,Minor_Lines,Major_lines,LineAuthors,Commits,LineAdded,LineDeleted,CommitAuthors,Ownership_Commits,Minor_Commits,Major_Commits,Ownership_Churn,Minor_Churn,Major_Churn,HasBug,BugCount
tests/camel-itest-spring-2.0/src/test/java/org/apache/camel/itest/spring2,34,19,0.56,0.0,1,0.9692307692307692,1,1,2,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath,77,57,1.0433333333333332,1.0,3,0.967741935483871,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tests/camel-itest/src/test/java/org/apache/camel/itest/jms,229,81,0.565,2.0,4,0.9673024523160763,2,1,3,4.0,10.0,12.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0
tests/camel-itest/src/test/java/org/apache/camel/itest/customerrelations,76,34,0.51,2.0,2,1.0,0,1,1,1.0,35.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
components/camel-irc/src/test/java/org/apache/camel/component/irc,121,52,0.45999999999999996,1.0,2,0.6108374384236454,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
components/camel-irc/src/main/java/org/apache/camel/component/irc,760,181,0.36777777777777776,3.5555555555555554,9,0.914568345323741,1,2,3,1.0,9.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0
components/camel-juel/src/test/java/org/apache/camel/language/juel,59,59,1.0366666666666666,0.0,3,0.9185185185185185,3,1,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
components/camel-juel/src/test/java/org/apache/camel/language/juel/issues,49,20,0.41,0.0,1,0.9743589743589743,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
components/camel-juel/src/test/java/org/apache/camel/processor/juel,54,21,0.39,0.0,1,0.6444444444444445,0,3,3,2.0,28.0,7.0,2.0,0.5,0.0,2.0,0.6190476190476191,0.0,2.0,0.0,0.0
components/camel-juel/src/main/java/org/apache/camel/language/juel,159,100,1.0799999999999998,2.75,4,0.8954703832752613,1,2,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
components/camel-bam/src/test/java/org/apache/camel/bam,111,68,0.65,0.0,3,0.8976744186046511,2,2,4,1.0,12.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
components/camel-bam/src/main/java/org/apache/camel/bam,245,102,1.4775,2.25,4,0.9325,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
components/camel-bam/src/main/java/org/apache/camel/bam/model,364,154,0.5783333333333333,2.8333333333333335,6,0.8853820598006644,2,2,4,1.0,11.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
components/camel-bam/src/main/java/org/apache/camel/bam/processor,438,164,0.6466666666666666,4.333333333333333,6,0.827536231884058,1,3,4,2.0,37.0,17.0,2.0,0.5,0.0,2.0,0.7583333333333333,0.0,2.0,1.0,1.0
components/camel-bam/src/main/java/org/apache/camel/bam/rules,215,95,0.4833333333333334,4.666666666666667,3,0.925414364640884,2,2,4,1.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
components/camel-ftp/src/test/java/org/apache/camel/component/file/remote,371,213,0.721111111111111,0.0,9,0.6812865497076024,1,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
components/camel-ftp/src/main/java/org/apache/camel/component/file/remote,938,315,0.62625,4.0625,16,0.6789366053169734,2,3,5,10.0,141.0,103.0,3.0,0.5,0.0,3.0,0.7960868236013452,0.0,3.0,1.0,28.0
components/camel-quartz/src/test/java/org/apache/camel/component/quartz,64,41,0.645,0.5,2,0.925,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
components/camel-quartz/src/main/java/org/apache/camel/component/quartz,360,142,0.7266666666666667,4.166666666666667,6,0.9175438596491228,1,2,3,2.0,10.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
components/camel-msv/src/test/java/org/apache/camel/component/validator/msv,8,19,2.38,0.0,1,0.9354838709677419,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
components/camel-msv/src/main/java/org/apache/camel/component/validator/msv,24,22,0.92,1.0,1,0.8333333333333334,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
components/camel-swing/src/test/java/org/apache/camel/component/swing,44,39,0.9,0.5,2,0.96875,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
components/camel-swing/src/main/java/org/apache/camel/component/uface/swing,55,57,1.1933333333333334,0.0,3,0.9153846153846154,1,2,3,1.0,3.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
components/camel-jaxb/src/test/java/org/apache/camel/example,177,158,1.22,0.125,8,0.8409090909090909,2,2,4,2.0,0.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,7.0
components/camel-jaxb/src/test/java/org/apache/camel/converter/jaxb,32,19,0.59,0.0,1,0.75,0,3,3,1.0,10.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
components/camel-jaxb/src/test/java/org/apache/camel/jaxb,31,22,0.71,1.0,1,0.5932203389830508,0,3,3,6.0,30.0,10.0,2.0,0.5,0.0,2.0,0.8292682926829268,0.0,2.0,1.0,1.0
components/camel-jaxb/src/main/java/org/apache/camel/converter/jaxb,535,245,0.560909090909091,3.6363636363636362,11,0.8948545861297539,2,2,4,1.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
components/camel-atom/src/test/java/org/apache/camel/component/atom,218,180,0.9214285714285715,0.5714285714285714,7,0.7029914529914529,0,3,3,7.0,103.0,79.0,2.0,0.5714285714285714,0.0,2.0,0.5642292490118577,0.0,2.0,1.0,1.0
components/camel-atom/src/main/java/org/apache/camel/component/atom,265,264,1.5530000000000002,1.2,10,0.5016393442622951,0,3,3,8.0,259.0,260.0,3.0,0.5,0.0,3.0,0.4098262432594368,0.0,3.0,0.0,0.0
components/camel-csv/src/test/java/org/apache/camel/dataformat/csv,55,43,0.78,2.0,1,0.6296296296296297,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
components/camel-csv/src/main/java/org/apache/camel/dataformat/csv,82,20,0.24,8.0,1,0.9464285714285714,2,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
components/camel-jhc/src/test/java/org/apache/camel/component/jhc,76,20,0.26,4.0,1,0.9911504424778761,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
components/camel-jhc/src/main/java/org/apache/camel/component/jhc,1212,290,0.8735714285714286,6.642857142857143,14,0.8013620885357549,4,2,6,2.0,8.0,13.0,2.0,0.5,0.0,2.0,0.8939393939393939,0.0,2.0,1.0,2.0
components/camel-jxpath/src/test/java/org/apache/camel/language/jxpath,172,133,0.9966666666666667,0.0,6,0.7694444444444445,2,2,4,6.0,86.0,72.0,3.0,0.5,0.0,3.0,0.7931149732620321,1.0,2.0,0.0,0.0
components/camel-jxpath/src/main/java/org/apache/camel/language/jxpath,69,74,1.3866666666666667,0.6666666666666666,3,0.65625,0,2,2,2.0,55.0,55.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
components/camel-ruby/src/test/java/org/apache/camel/ruby,87,95,1.462,0.8,5,0.8451327433628318,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
components/camel-ruby/src/main/resources,41,26,0.63,0.0,1,0.8024691358024691,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
components/camel-ruby/src/main/java/org/apache/camel/ruby,63,43,0.7050000000000001,1.0,2,0.983739837398374,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
components/camel-stringtemplate/src/test/java/org/apache/camel/component/stringtemplate,105,65,0.6266666666666667,0.0,3,0.5879396984924623,0,3,3,2.0,24.0,7.0,2.0,0.5,0.0,2.0,0.84,0.0,2.0,1.0,3.0
components/camel-stringtemplate/src/main/java/org/apache/camel/component/stringtemplate,52,40,1.2999999999999998,0.5,2,0.8796296296296297,1,2,3,3.0,14.0,4.0,2.0,0.6666666666666666,0.0,2.0,0.5514018691588785,0.0,2.0,0.0,0.0
components/camel-jetty/src/test/java/org/apache/camel/component/jetty,439,162,0.43875000000000003,1.375,8,0.31337047353760444,0,5,5,3.0,226.0,233.0,2.0,0.6666666666666666,0.0,2.0,0.95,0.0,2.0,1.0,20.0
components/camel-jetty/src/main/java/org/apache/camel/component/jetty,391,125,0.4325,7.75,4,0.6612111292962357,3,3,6,2.0,80.0,17.0,2.0,0.5,0.0,2.0,0.7661538461538462,0.0,2.0,1.0,2.0
components/camel-http/src/test/java/org/apache/camel/component/http,199,120,0.9750000000000001,0.5,6,0.38219895287958117,1,3,4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
components/camel-http/src/main/java/org/apache/camel/component/http,632,337,0.9641666666666667,3.0833333333333335,12,0.5740905057675244,3,3,6,7.0,98.0,45.0,3.0,0.5714285714285714,0.0,3.0,0.8721918639951427,1.0,2.0,1.0,16.0
components/camel-http/src/main/java/org/apache/camel/component/http/helper,20,29,1.45,1.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
components/camel-jcr/src/test/java/org/apache/camel/component/jcr,97,37,0.43,1.5,2,0.9615384615384616,1,1,2,2.0,2.0,3.0,2.0,0.5,0.0,2.0,0.6746987951807228,0.0,2.0,1.0,1.0
components/camel-jcr/src/main/java/org/apache/camel/component/jcr,154,121,1.0675,1.5,4,0.9744408945686901,2,1,3,1.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
components/camel-amqp/src/test/java/org/apache/camel/component/amqp,89,41,0.47000000000000003,1.5,2,0.9625,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
components/camel-amqp/src/main/java/org/apache/camel/component/amqp,30,22,0.73,0.0,1,0.8387096774193549,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
components/camel-supercsv/src/test/java/org/apache/camel/dataformat/supercsv,38,20,0.53,1.0,1,0.984375,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
components/camel-supercsv/src/main/java/org/apache/camel/dataformat/supercsv,82,21,0.26,10.0,1,0.990990990990991,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
components/camel-osgi/src/main/java/org/apache/camel/osgi,214,67,2.315,6.25,4,0.7788461538461539,1,3,4,4.0,26.0,23.0,3.0,0.5,0.0,3.0,0.5,0.0,3.0,1.0,8.0
components/camel-mina/src/test/java/org/apache/camel/component/mina,971,534,0.8579166666666667,0.7916666666666666,24,0.6630985915492957,3,2,5,8.0,305.0,375.0,3.0,0.5,0.0,3.0,0.8783112582781457,0.0,3.0,1.0,8.0
components/camel-mina/src/main/java/org/apache/camel/component/mina,685,294,0.8122222222222222,8.0,9,0.41465594280607687,2,3,5,8.0,113.0,113.0,3.0,0.5,0.0,3.0,0.7826253348641409,0.0,3.0,1.0,2.0
components/camel-velocity/src/test/java/org/apache/camel/component/velocity,196,121,0.7783333333333333,0.0,6,0.6351351351351351,0,3,3,4.0,169.0,151.0,2.0,0.75,0.0,2.0,0.9848828420256992,1.0,1.0,1.0,2.0
components/camel-velocity/src/main/java/org/apache/camel/component/velocity,91,46,0.74,1.5,2,0.8227848101265823,0,3,3,5.0,43.0,9.0,3.0,0.4,0.0,3.0,0.5410628019323671,1.0,2.0,1.0,1.0
components/camel-jing/src/test/java/org/apache/camel/component/validator/jing,16,38,2.38,0.0,2,0.9333333333333333,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
components/camel-jing/src/main/java/org/apache/camel/component/validator/jing,143,71,1.37,2.6666666666666665,3,0.8699186991869918,1,2,3,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
