File,Author,ChurnSize
,Hadrian Zbarcea,2623.0
apache-camel,Hadrian Zbarcea,1819.0
apache-camel/src/main/descriptors,Hadrian Zbarcea,5.0
buildingtools,Hadrian Zbarcea,1814.0
camel-core,Hadrian Zbarcea,1814.0
camel-core/src/main/java/org/apache/camel,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/api/management/mbean,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/builder,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/builder/xml,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/bean,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/dataset,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/directvm,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/file,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/file/strategy,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/log,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/mock,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/properties,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/seda,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/stub,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/timer,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/validator,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/xslt,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/converter,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/converter/jaxp,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/converter/stream,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/impl,Hadrian Zbarcea,34.0
camel-core/src/main/java/org/apache/camel/impl/converter,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/language/bean,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/language/simple,Hadrian Zbarcea,
