Author,File,NumLines
Aaron Mulder,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/script,38.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/dataformat/protobuf/generated,2.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/blueprint,4.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/dataformat,1.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/hazelcast,3.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/http,2.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/krati,2.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/mail,2.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/zookeeper,20.0
Babak Vahdat,tests/camel-itest/src/test/java/org/apache/camel/itest/async,5.0
Babak Vahdat,tests/camel-itest/src/test/java/org/apache/camel/itest/jetty,2.0
Babak Vahdat,tests/camel-itest/src/test/java/org/apache/camel/itest/tx,4.0
Babak Vahdat,tests/camel-performance/src/test/java/org/apache/camel/test/perf,44.0
Christian Mueller,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi,2.0
Christian Mueller,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/aws,1929.0
Christian Mueller,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/vm,60.0
Christian Mueller,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/ftp,2.0
Christian Mueller,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/servlet/support,2.0
Christian Mueller,tests/camel-performance/src/test/java/org/apache/camel/test/perf,560.0
Christian Schneider,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/cxf/jaxrs/testbean,47.0
Christian Schneider,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/hazelcast,64.0
Christian Schneider,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/jpa,4.0
Christian Schneider,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/servlet,4.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/dataformat/protobuf/generated,361.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi,24.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/ahc,70.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/aws,2.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/beanio,230.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/bindy,496.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/blueprint,1242.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/cache,173.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/cache/replication,8.0
