File,Author,NumCommits
,Hadrian Zbarcea,29.0
apache-camel,Hadrian Zbarcea,20.0
apache-camel/src/main/descriptors,Hadrian Zbarcea,
buildingtools,Hadrian Zbarcea,20.0
camel-core,Hadrian Zbarcea,21.0
camel-core/src/main/java/org/apache/camel,Hadrian Zbarcea,5.0
camel-core/src/main/java/org/apache/camel/api/management,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/api/management/mbean,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/builder,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/builder/xml,Hadrian Zbarcea,1.0
camel-core/src/main/java/org/apache/camel/component,Hadrian Zbarcea,1.0
camel-core/src/main/java/org/apache/camel/component/bean,Hadrian Zbarcea,1.0
camel-core/src/main/java/org/apache/camel/component/browse,Hadrian Zbarcea,1.0
camel-core/src/main/java/org/apache/camel/component/dataset,Hadrian Zbarcea,2.0
camel-core/src/main/java/org/apache/camel/component/direct,Hadrian Zbarcea,1.0
camel-core/src/main/java/org/apache/camel/component/file,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/file/strategy,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/language,Hadrian Zbarcea,1.0
camel-core/src/main/java/org/apache/camel/component/log,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/mock,Hadrian Zbarcea,1.0
camel-core/src/main/java/org/apache/camel/component/properties,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/ref,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/seda,Hadrian Zbarcea,1.0
camel-core/src/main/java/org/apache/camel/component/timer,Hadrian Zbarcea,2.0
camel-core/src/main/java/org/apache/camel/component/validator,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/vm,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/component/xslt,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/converter,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/converter/jaxp,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/converter/stream,Hadrian Zbarcea,2.0
camel-core/src/main/java/org/apache/camel/impl,Hadrian Zbarcea,10.0
camel-core/src/main/java/org/apache/camel/impl/converter,Hadrian Zbarcea,2.0
camel-core/src/main/java/org/apache/camel/impl/osgi,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/language/bean,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/language/constant,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/language/header,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/language/property,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/language/ref,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/language/simple,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/language/simple/ast,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/language/simple/types,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/language/tokenizer,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/main,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/management,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/management/event,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/management/mbean,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/model,Hadrian Zbarcea,1.0
camel-core/src/main/java/org/apache/camel/model/config,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/model/dataformat,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/model/language,Hadrian Zbarcea,1.0
camel-core/src/main/java/org/apache/camel/processor,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/processor/aggregate,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/processor/idempotent,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/processor/interceptor,Hadrian Zbarcea,1.0
camel-core/src/main/java/org/apache/camel/processor/loadbalancer,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/processor/resequencer,Hadrian Zbarcea,1.0
camel-core/src/main/java/org/apache/camel/processor/validation,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/spi,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/spi/management,Hadrian Zbarcea,
camel-core/src/main/java/org/apache/camel/support,Hadrian Zbarcea,1.0
