File,Author,NumCommits
,Jochen Theodorou,5.0
config/maven,Jochen Theodorou,
src/bin,Jochen Theodorou,
src/main/groovy/inspect,Jochen Theodorou,1.0
src/main/groovy/lang,Jochen Theodorou,3.0
src/main/groovy/sql,Jochen Theodorou,
src/main/groovy/ui,Jochen Theodorou,
src/main/groovy/util,Jochen Theodorou,
src/main/groovy/xml,Jochen Theodorou,
src/main/groovy/xml/dom,Jochen Theodorou,
src/main/org/codehaus/groovy/ant,Jochen Theodorou,
src/main/org/codehaus/groovy/antlr,Jochen Theodorou,4.0
src/main/org/codehaus/groovy/ast,Jochen Theodorou,4.0
src/main/org/codehaus/groovy/ast/expr,Jochen Theodorou,
src/main/org/codehaus/groovy/classgen,Jochen Theodorou,7.0
src/main/org/codehaus/groovy/control,Jochen Theodorou,
src/main/org/codehaus/groovy/reflection,Jochen Theodorou,1.0
src/main/org/codehaus/groovy/reflection/stdclasses,Jochen Theodorou,
src/main/org/codehaus/groovy/runtime,Jochen Theodorou,2.0
src/main/org/codehaus/groovy/runtime/metaclass,Jochen Theodorou,1.0
src/main/org/codehaus/groovy/runtime/typehandling,Jochen Theodorou,
src/main/org/codehaus/groovy/tools,Jochen Theodorou,2.0
src/main/org/codehaus/groovy/tools/javac,Jochen Theodorou,3.0
src/main/org/codehaus/groovy/tools/shell,Jochen Theodorou,
src/main/org/codehaus/groovy/vmplugin/v5,Jochen Theodorou,1.0
src/test/gls/generics/vm5,Jochen Theodorou,1.0
src/test/gls/invocation,Jochen Theodorou,3.0
src/test/gls/invocaton,Jochen Theodorou,1.0
src/test/gls/invocaton/vm5,Jochen Theodorou,
src/test/gls/scope,Jochen Theodorou,1.0
src/test/groovy,Jochen Theodorou,3.0
src/test/groovy/lang,Jochen Theodorou,1.0
src/test/groovy/util,Jochen Theodorou,
src/test/groovy/vm5,Jochen Theodorou,
src/test/groovy/xml,Jochen Theodorou,
src/test/groovy/xml/dom,Jochen Theodorou,
src/test/org/codehaus/groovy/ast,Jochen Theodorou,1.0
src/test/org/codehaus/groovy/tools,Jochen Theodorou,
,Paul King,10.0
config/maven,Paul King,1.0
src/bin,Paul King,2.0
src/main/groovy/inspect,Paul King,
src/main/groovy/lang,Paul King,5.0
src/main/groovy/sql,Paul King,1.0
src/main/groovy/ui,Paul King,2.0
src/main/groovy/util,Paul King,2.0
src/main/groovy/xml,Paul King,2.0
src/main/groovy/xml/dom,Paul King,3.0
src/main/org/codehaus/groovy/ant,Paul King,1.0
src/main/org/codehaus/groovy/antlr,Paul King,1.0
src/main/org/codehaus/groovy/ast,Paul King,4.0
src/main/org/codehaus/groovy/ast/expr,Paul King,1.0
src/main/org/codehaus/groovy/classgen,Paul King,5.0
src/main/org/codehaus/groovy/control,Paul King,2.0
src/main/org/codehaus/groovy/reflection,Paul King,
src/main/org/codehaus/groovy/reflection/stdclasses,Paul King,1.0
src/main/org/codehaus/groovy/runtime,Paul King,20.0
src/main/org/codehaus/groovy/runtime/metaclass,Paul King,
src/main/org/codehaus/groovy/runtime/typehandling,Paul King,1.0
src/main/org/codehaus/groovy/tools,Paul King,1.0
src/main/org/codehaus/groovy/tools/javac,Paul King,
src/main/org/codehaus/groovy/tools/shell,Paul King,1.0
src/main/org/codehaus/groovy/vmplugin/v5,Paul King,
src/test/gls/generics/vm5,Paul King,
src/test/gls/invocation,Paul King,
src/test/gls/invocaton,Paul King,2.0
src/test/gls/invocaton/vm5,Paul King,1.0
src/test/gls/scope,Paul King,
src/test/groovy,Paul King,14.0
src/test/groovy/lang,Paul King,2.0
src/test/groovy/util,Paul King,2.0
src/test/groovy/vm5,Paul King,1.0
src/test/groovy/xml,Paul King,1.0
src/test/groovy/xml/dom,Paul King,3.0
src/test/org/codehaus/groovy/ast,Paul King,
src/test/org/codehaus/groovy/tools,Paul King,1.0
,Guillaume Laforge,1.0
config/maven,Guillaume Laforge,
src/bin,Guillaume Laforge,
src/main/groovy/inspect,Guillaume Laforge,
src/main/groovy/lang,Guillaume Laforge,
src/main/groovy/sql,Guillaume Laforge,
src/main/groovy/ui,Guillaume Laforge,
src/main/groovy/util,Guillaume Laforge,1.0
src/main/groovy/xml,Guillaume Laforge,
src/main/groovy/xml/dom,Guillaume Laforge,
src/main/org/codehaus/groovy/ant,Guillaume Laforge,
src/main/org/codehaus/groovy/antlr,Guillaume Laforge,
src/main/org/codehaus/groovy/ast,Guillaume Laforge,
src/main/org/codehaus/groovy/ast/expr,Guillaume Laforge,
src/main/org/codehaus/groovy/classgen,Guillaume Laforge,
src/main/org/codehaus/groovy/control,Guillaume Laforge,
src/main/org/codehaus/groovy/reflection,Guillaume Laforge,
src/main/org/codehaus/groovy/reflection/stdclasses,Guillaume Laforge,
src/main/org/codehaus/groovy/runtime,Guillaume Laforge,1.0
src/main/org/codehaus/groovy/runtime/metaclass,Guillaume Laforge,
src/main/org/codehaus/groovy/runtime/typehandling,Guillaume Laforge,
src/main/org/codehaus/groovy/tools,Guillaume Laforge,
src/main/org/codehaus/groovy/tools/javac,Guillaume Laforge,
src/main/org/codehaus/groovy/tools/shell,Guillaume Laforge,
src/main/org/codehaus/groovy/vmplugin/v5,Guillaume Laforge,
src/test/gls/generics/vm5,Guillaume Laforge,
src/test/gls/invocation,Guillaume Laforge,
src/test/gls/invocaton,Guillaume Laforge,
src/test/gls/invocaton/vm5,Guillaume Laforge,
src/test/gls/scope,Guillaume Laforge,
src/test/groovy,Guillaume Laforge,
src/test/groovy/lang,Guillaume Laforge,
src/test/groovy/util,Guillaume Laforge,1.0
src/test/groovy/vm5,Guillaume Laforge,
src/test/groovy/xml,Guillaume Laforge,
src/test/groovy/xml/dom,Guillaume Laforge,
src/test/org/codehaus/groovy/ast,Guillaume Laforge,
src/test/org/codehaus/groovy/tools,Guillaume Laforge,
,Andres Almiray,1.0
config/maven,Andres Almiray,
src/bin,Andres Almiray,
src/main/groovy/inspect,Andres Almiray,
src/main/groovy/lang,Andres Almiray,
src/main/groovy/sql,Andres Almiray,
src/main/groovy/ui,Andres Almiray,
src/main/groovy/util,Andres Almiray,3.0
src/main/groovy/xml,Andres Almiray,
src/main/groovy/xml/dom,Andres Almiray,
src/main/org/codehaus/groovy/ant,Andres Almiray,
src/main/org/codehaus/groovy/antlr,Andres Almiray,
src/main/org/codehaus/groovy/ast,Andres Almiray,
src/main/org/codehaus/groovy/ast/expr,Andres Almiray,
src/main/org/codehaus/groovy/classgen,Andres Almiray,
src/main/org/codehaus/groovy/control,Andres Almiray,
src/main/org/codehaus/groovy/reflection,Andres Almiray,
src/main/org/codehaus/groovy/reflection/stdclasses,Andres Almiray,
src/main/org/codehaus/groovy/runtime,Andres Almiray,
src/main/org/codehaus/groovy/runtime/metaclass,Andres Almiray,
src/main/org/codehaus/groovy/runtime/typehandling,Andres Almiray,
src/main/org/codehaus/groovy/tools,Andres Almiray,
src/main/org/codehaus/groovy/tools/javac,Andres Almiray,
src/main/org/codehaus/groovy/tools/shell,Andres Almiray,
src/main/org/codehaus/groovy/vmplugin/v5,Andres Almiray,
src/test/gls/generics/vm5,Andres Almiray,
src/test/gls/invocation,Andres Almiray,
src/test/gls/invocaton,Andres Almiray,
src/test/gls/invocaton/vm5,Andres Almiray,
src/test/gls/scope,Andres Almiray,
src/test/groovy,Andres Almiray,
src/test/groovy/lang,Andres Almiray,
src/test/groovy/util,Andres Almiray,2.0
src/test/groovy/vm5,Andres Almiray,
