File,SLOC,Comments,Ratio_code_comment,McCabe,NumFiles,Ownership_Lines,Minor_Lines,Major_lines,LineAuthors,Commits,LineAdded,LineDeleted,CommitAuthors,Ownership_Commits,Minor_Commits,Major_Commits,Ownership_Churn,Minor_Churn,Major_Churn,HasBug,BugCount
src/test,279,157,0.9280000000000002,0.26666666666666666,15,0.49372384937238495,6,4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/bsf,208,102,0.525,0.5,2,0.5431034482758621,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/ast,579,195,0.9337500000000001,3.875,8,0.8269018743109151,3,2,5,8.0,325.0,74.0,2.0,0.875,0.0,2.0,0.5767138193688792,0.0,2.0,0.0,0.0
src/test/org/codehaus/groovy/runtime,1045,721,1.0684210526315792,0.42105263157894735,19,0.7748312439729991,9,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
src/test/org/codehaus/groovy/antlr,221,64,0.26,0.2,5,0.41304347826086957,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/antlr/treewalker,1014,357,0.4,3.8,10,0.5009030704394943,4,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/control,210,39,0.555,0.5,2,0.8586206896551725,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/control/messages,17,16,0.94,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/ant,212,36,0.165,1.5,2,0.5615942028985508,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/classgen,973,1160,2.5425000000000004,0.20833333333333334,24,0.8052109181141439,9,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
src/test/org/codehaus/groovy/syntax,7,740,105.71,0.0,1,0.9375,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/syntax/parser,12,39,3.25,0.0,1,0.9285714285714286,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/benchmarks/vm5/b2394,138,4,0.02,3.3333333333333335,3,0.7386363636363636,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/tools,142,164,1.13,1.5,4,0.8045977011494253,5,3,8,1.0,81.0,81.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
src/test/org/codehaus/groovy/tools/groovydoc,150,25,0.17,3.0,1,0.5970873786407767,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
src/test/org/codehaus/groovy/dummy,5,4,0.8,0.0,1,0.9090909090909091,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/groovy,164,29,0.244,0.1,10,0.3319672131147541,3,5,8,17.0,259.0,26.0,2.0,0.8235294117647058,0.0,2.0,0.8402777777777778,0.0,2.0,1.0,18.0
src/test/groovy/xml,89,98,1.3266666666666667,0.0,3,0.391304347826087,1,4,5,1.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
src/test/groovy/text,48,54,1.125,0.0,2,0.4214876033057851,2,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/groovy/tree,34,49,1.44,0.0,1,0.9468085106382979,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/groovy/servlet,25,16,0.64,0.0,1,0.94,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
src/test/groovy/vm5,2,16,8.0,0.0,1,1.0,0,1,1,1.0,8.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
src/test/groovy/io,22,0,0.0,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/groovy/lang,1371,1251,2.5318181818181813,0.9545454545454546,22,0.5875291763921308,8,2,10,3.0,6.0,3.0,2.0,0.6666666666666666,0.0,2.0,0.9461794019933555,0.0,2.0,1.0,2.0
src/test/groovy/txn,40,9,0.245,0.0,2,0.8688524590163934,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/groovy/bugs,212,410,3.3475,0.16666666666666666,12,0.7594202898550725,3,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
src/test/groovy/mock/interceptor,8,0,0.0,1.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/groovy/security,364,108,0.488,8.0,5,0.6014897579143389,6,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/groovy/inspect,212,9,0.04,9.0,1,0.5461847389558233,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
src/test/groovy/util,195,162,1.2257142857142855,0.2857142857142857,7,0.5143540669856459,1,4,5,5.0,116.0,11.0,3.0,0.4,0.0,3.0,0.8115015974440895,0.0,3.0,1.0,8.0
src/test/gls/ch06/s05,213,27,0.13,0.0,1,0.8969072164948454,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/gls/ch06/s05/testClasses,129,114,0.9533333333333333,0.6666666666666666,6,0.6066666666666667,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/gls/generics/vm5,74,0,0.0,3.0,1,1.0,0,1,1,1.0,27.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
src/examples/groovy/j2ee,42,55,1.31,3.0,1,0.9439252336448598,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/examples/groovy/swing,90,79,1.13,2.5,2,0.8842105263157894,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/main/org/codehaus/groovy,72,90,1.8566666666666667,1.3333333333333333,3,0.3621621621621622,2,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/main/org/codehaus/groovy/groovydoc,140,227,2.1346153846153846,0.0,13,0.4201474201474201,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/main/org/codehaus/groovy/bsf,158,93,0.59,6.5,2,0.718978102189781,1,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/main/org/codehaus/groovy/ast,2685,949,0.7812500000000001,10.333333333333334,24,0.43716358530306576,13,4,17,8.0,121.0,24.0,2.0,0.5,0.0,2.0,0.8526785714285714,0.0,2.0,1.0,10.0
src/main/org/codehaus/groovy/ast/expr,1592,928,0.8692500000000001,1.325,40,0.4543941411451398,9,4,13,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
src/main/org/codehaus/groovy/ast/stmt,499,387,0.9177777777777779,0.3333333333333333,18,0.6939736346516008,3,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/main/org/codehaus/groovy/runtime,7760,6974,1.4012121212121211,37.96969696969697,33,0.3536539895600298,24,4,28,23.0,824.0,181.0,3.0,0.8695652173913043,1.0,2.0,0.548466690165668,1.0,2.0,1.0,18.0
src/main/org/codehaus/groovy/runtime/metaclass,2631,1485,0.8530000000000001,20.4,20,0.5986034701650444,7,4,11,1.0,10.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,10.0
src/main/org/codehaus/groovy/runtime/wrappers,129,475,3.7100000000000013,0.0,11,0.6408345752608048,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/main/org/codehaus/groovy/runtime/typehandling,1210,311,0.523,24.0,10,0.4752873563218391,5,4,9,1.0,13.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
src/main/org/codehaus/groovy/antlr,2821,588,1.1320000000000001,26.533333333333335,15,0.6313271216318308,12,2,14,12.0,148.0,68.0,3.0,0.5833333333333334,0.0,3.0,0.5897658282740676,0.0,3.0,1.0,10.0
src/main/org/codehaus/groovy/antlr/treewalker,3342,520,0.5708333333333332,49.333333333333336,12,0.9671797193300136,4,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/main/org/codehaus/groovy/antlr/java,437,166,0.615,5.5,4,0.9062027231467473,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/main/org/codehaus/groovy/binding,505,269,2.178181818181818,3.090909090909091,11,0.989010989010989,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/main/org/codehaus/groovy/control,2731,1264,1.125294117647059,26.529411764705884,17,0.44513769363166955,12,6,18,3.0,8.0,5.0,2.0,0.6666666666666666,0.0,2.0,0.9197969543147209,0.0,2.0,1.0,12.0
src/main/org/codehaus/groovy/control/messages,190,198,1.0633333333333332,1.0,6,0.6653992395437263,6,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
src/main/org/codehaus/groovy/control/io,163,241,2.0128571428571425,1.5714285714285714,7,0.38666666666666666,2,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/main/org/codehaus/groovy/vmplugin,27,42,1.8650000000000002,0.0,2,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
