File,Author,NumCommits
,Jochen Theodorou,8.0
bootstrap,Jochen Theodorou,
config/ant,Jochen Theodorou,
config/maven,Jochen Theodorou,
experimental/groovy/grape,Jochen Theodorou,
experimental/groovy/lang,Jochen Theodorou,
security,Jochen Theodorou,
src,Jochen Theodorou,
src/bin,Jochen Theodorou,
src/examples/groovy/model,Jochen Theodorou,
src/examples/groovy/swing,Jochen Theodorou,
src/examples/org/codehaus/groovy/grails/compiler/injection,Jochen Theodorou,
src/examples/swing,Jochen Theodorou,
src/examples/swing/binding/caricature,Jochen Theodorou,
src/examples/swing/binding/caricature/resources,Jochen Theodorou,
src/examples/swing/greet,Jochen Theodorou,
src/main/groovy/inspect,Jochen Theodorou,
src/main/groovy/inspect/swingui,Jochen Theodorou,
src/main/groovy/io,Jochen Theodorou,
src/main/groovy/lang,Jochen Theodorou,8.0
src/main/groovy/mock,Jochen Theodorou,
src/main/groovy/mock/interceptor,Jochen Theodorou,
src/main/groovy/model,Jochen Theodorou,
src/main/groovy/servlet,Jochen Theodorou,
src/main/groovy/sql,Jochen Theodorou,
src/main/groovy/swing,Jochen Theodorou,
src/main/groovy/swing/binding,Jochen Theodorou,
src/main/groovy/swing/factory,Jochen Theodorou,
src/main/groovy/swing/impl,Jochen Theodorou,
src/main/groovy/text,Jochen Theodorou,
src/main/groovy/ui,Jochen Theodorou,
src/main/groovy/ui/text,Jochen Theodorou,
src/main/groovy/ui/view,Jochen Theodorou,
src/main/groovy/util,Jochen Theodorou,
src/main/groovy/xml,Jochen Theodorou,
src/main/groovy/xml/streamingmarkupsupport,Jochen Theodorou,
src/main/org/codehaus/groovy/ant,Jochen Theodorou,
src/main/org/codehaus/groovy/antlr,Jochen Theodorou,8.0
src/main/org/codehaus/groovy/antlr/java,Jochen Theodorou,
src/main/org/codehaus/groovy/ast,Jochen Theodorou,1.0
src/main/org/codehaus/groovy/ast/expr,Jochen Theodorou,1.0
src/main/org/codehaus/groovy/binding,Jochen Theodorou,
src/main/org/codehaus/groovy/classgen,Jochen Theodorou,9.0
src/main/org/codehaus/groovy/control,Jochen Theodorou,
src/main/org/codehaus/groovy/control/io,Jochen Theodorou,1.0
src/main/org/codehaus/groovy/groovydoc,Jochen Theodorou,
src/main/org/codehaus/groovy/reflection,Jochen Theodorou,1.0
src/main/org/codehaus/groovy/reflection/stdclasses,Jochen Theodorou,
src/main/org/codehaus/groovy/runtime,Jochen Theodorou,7.0
src/main/org/codehaus/groovy/runtime/callsite,Jochen Theodorou,
src/main/org/codehaus/groovy/runtime/dgmimpl,Jochen Theodorou,
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays,Jochen Theodorou,
src/main/org/codehaus/groovy/runtime/metaclass,Jochen Theodorou,3.0
src/main/org/codehaus/groovy/runtime/typehandling,Jochen Theodorou,
src/main/org/codehaus/groovy/runtime/wrappers,Jochen Theodorou,
src/main/org/codehaus/groovy/syntax,Jochen Theodorou,
src/main/org/codehaus/groovy/tools,Jochen Theodorou,2.0
src/main/org/codehaus/groovy/tools/groovydoc,Jochen Theodorou,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/class-level,Jochen Theodorou,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/package-level,Jochen Theodorou,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/top-level,Jochen Theodorou,
src/main/org/codehaus/groovy/tools/javac,Jochen Theodorou,4.0
src/main/org/codehaus/groovy/tools/shell,Jochen Theodorou,
src/main/org/codehaus/groovy/tools/shell/util,Jochen Theodorou,
src/main/org/codehaus/groovy/transform,Jochen Theodorou,6.0
src/main/org/codehaus/groovy/vmplugin,Jochen Theodorou,1.0
src/main/org/codehaus/groovy/vmplugin/v4,Jochen Theodorou,4.0
src/main/org/codehaus/groovy/vmplugin/v5,Jochen Theodorou,1.0
src/tck/src/org/codehaus/groovy/tck,Jochen Theodorou,
src/test,Jochen Theodorou,
src/test/gls/annotations/vm5,Jochen Theodorou,1.0
src/test/gls/enums/vm5,Jochen Theodorou,1.0
src/test/gls/generics/vm5,Jochen Theodorou,2.0
src/test/gls/invocaton,Jochen Theodorou,5.0
src/test/gls/scope,Jochen Theodorou,
src/test/groovy,Jochen Theodorou,
src/test/groovy/beans/vm5,Jochen Theodorou,
src/test/groovy/inspect,Jochen Theodorou,
src/test/groovy/lang,Jochen Theodorou,5.0
src/test/groovy/mock,Jochen Theodorou,
src/test/groovy/operator,Jochen Theodorou,
src/test/groovy/script,Jochen Theodorou,
src/test/groovy/security,Jochen Theodorou,
src/test/groovy/sql,Jochen Theodorou,
src/test/groovy/swing,Jochen Theodorou,
src/test/groovy/text,Jochen Theodorou,
src/test/groovy/util,Jochen Theodorou,
src/test/groovy/vm5,Jochen Theodorou,
src/test/groovy/xml,Jochen Theodorou,
src/test/org/codehaus/groovy/ant,Jochen Theodorou,
src/test/org/codehaus/groovy/ast,Jochen Theodorou,
src/test/org/codehaus/groovy/benchmarks/alioth,Jochen Theodorou,
src/test/org/codehaus/groovy/benchmarks/vm5/b2394,Jochen Theodorou,
src/test/org/codehaus/groovy/classgen,Jochen Theodorou,
src/test/org/codehaus/groovy/reflection,Jochen Theodorou,
src/test/org/codehaus/groovy/runtime,Jochen Theodorou,
src/test/org/codehaus/groovy/tools,Jochen Theodorou,
src/test/org/codehaus/groovy/tools/groovydoc,Jochen Theodorou,
src/test/org/codehaus/groovy/transform/META-INF/services,Jochen Theodorou,
src/test/org/codehaus/groovy/transform/vm5,Jochen Theodorou,
src/tools/org/codehaus/groovy/tools,Jochen Theodorou,
,Danno Ferrin,25.0
bootstrap,Danno Ferrin,
config/ant,Danno Ferrin,3.0
config/maven,Danno Ferrin,1.0
experimental/groovy/grape,Danno Ferrin,2.0
experimental/groovy/lang,Danno Ferrin,
security,Danno Ferrin,
src,Danno Ferrin,
src/bin,Danno Ferrin,1.0
src/examples/groovy/model,Danno Ferrin,1.0
src/examples/groovy/swing,Danno Ferrin,1.0
src/examples/org/codehaus/groovy/grails/compiler/injection,Danno Ferrin,5.0
src/examples/swing,Danno Ferrin,2.0
src/examples/swing/binding/caricature,Danno Ferrin,3.0
src/examples/swing/binding/caricature/resources,Danno Ferrin,1.0
src/examples/swing/greet,Danno Ferrin,8.0
src/main/groovy/inspect,Danno Ferrin,
src/main/groovy/inspect/swingui,Danno Ferrin,1.0
src/main/groovy/io,Danno Ferrin,
src/main/groovy/lang,Danno Ferrin,1.0
src/main/groovy/mock,Danno Ferrin,
src/main/groovy/mock/interceptor,Danno Ferrin,
src/main/groovy/model,Danno Ferrin,1.0
src/main/groovy/servlet,Danno Ferrin,
src/main/groovy/sql,Danno Ferrin,
src/main/groovy/swing,Danno Ferrin,8.0
src/main/groovy/swing/binding,Danno Ferrin,1.0
src/main/groovy/swing/factory,Danno Ferrin,10.0
src/main/groovy/swing/impl,Danno Ferrin,2.0
src/main/groovy/text,Danno Ferrin,
src/main/groovy/ui,Danno Ferrin,6.0
src/main/groovy/ui/text,Danno Ferrin,
src/main/groovy/ui/view,Danno Ferrin,3.0
src/main/groovy/util,Danno Ferrin,7.0
src/main/groovy/xml,Danno Ferrin,
src/main/groovy/xml/streamingmarkupsupport,Danno Ferrin,
src/main/org/codehaus/groovy/ant,Danno Ferrin,5.0
src/main/org/codehaus/groovy/antlr,Danno Ferrin,
src/main/org/codehaus/groovy/antlr/java,Danno Ferrin,
src/main/org/codehaus/groovy/ast,Danno Ferrin,
src/main/org/codehaus/groovy/ast/expr,Danno Ferrin,
src/main/org/codehaus/groovy/binding,Danno Ferrin,2.0
src/main/org/codehaus/groovy/classgen,Danno Ferrin,
src/main/org/codehaus/groovy/control,Danno Ferrin,
src/main/org/codehaus/groovy/control/io,Danno Ferrin,
src/main/org/codehaus/groovy/groovydoc,Danno Ferrin,
src/main/org/codehaus/groovy/reflection,Danno Ferrin,1.0
src/main/org/codehaus/groovy/reflection/stdclasses,Danno Ferrin,
src/main/org/codehaus/groovy/runtime,Danno Ferrin,
src/main/org/codehaus/groovy/runtime/callsite,Danno Ferrin,
src/main/org/codehaus/groovy/runtime/dgmimpl,Danno Ferrin,
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays,Danno Ferrin,
src/main/org/codehaus/groovy/runtime/metaclass,Danno Ferrin,
src/main/org/codehaus/groovy/runtime/typehandling,Danno Ferrin,
src/main/org/codehaus/groovy/runtime/wrappers,Danno Ferrin,
src/main/org/codehaus/groovy/syntax,Danno Ferrin,
src/main/org/codehaus/groovy/tools,Danno Ferrin,2.0
src/main/org/codehaus/groovy/tools/groovydoc,Danno Ferrin,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/class-level,Danno Ferrin,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/package-level,Danno Ferrin,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/top-level,Danno Ferrin,
src/main/org/codehaus/groovy/tools/javac,Danno Ferrin,3.0
src/main/org/codehaus/groovy/tools/shell,Danno Ferrin,1.0
src/main/org/codehaus/groovy/tools/shell/util,Danno Ferrin,
src/main/org/codehaus/groovy/transform,Danno Ferrin,3.0
src/main/org/codehaus/groovy/vmplugin,Danno Ferrin,
src/main/org/codehaus/groovy/vmplugin/v4,Danno Ferrin,2.0
src/main/org/codehaus/groovy/vmplugin/v5,Danno Ferrin,2.0
src/tck/src/org/codehaus/groovy/tck,Danno Ferrin,
src/test,Danno Ferrin,
src/test/gls/annotations/vm5,Danno Ferrin,
