File,SLOC,Comments,Ratio_code_comment,McCabe,NumFiles,Ownership_Lines,Minor_Lines,Major_lines,LineAuthors,Commits,LineAdded,LineDeleted,CommitAuthors,Ownership_Commits,Minor_Commits,Major_Commits,Ownership_Churn,Minor_Churn,Major_Churn,HasBug,BugCount
src/test,256,172,1.014,0.26666666666666666,15,0.5340425531914894,8,3,11,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
src/test/org/codehaus/groovy/bsf,208,102,0.525,0.5,2,0.5431034482758621,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/ast,578,195,0.9337500000000001,3.875,8,0.8243093922651934,4,2,6,8.0,325.0,74.0,2.0,0.875,0.0,2.0,0.5767138193688792,0.0,2.0,0.0,0.0
src/test/org/codehaus/groovy/runtime,1045,721,1.0684210526315792,0.42105263157894735,19,0.7748312439729991,9,2,11,9.0,116.0,29.0,2.0,0.8888888888888888,0.0,2.0,0.9906422798809017,1.0,1.0,1.0,1.0
src/test/org/codehaus/groovy/antlr,221,64,0.26,0.2,5,0.41304347826086957,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/antlr/treewalker,1011,352,0.398,3.7,10,0.49818401937046003,5,2,7,2.0,1.0,10.0,2.0,0.5,0.0,2.0,0.7931034482758621,0.0,2.0,0.0,0.0
src/test/org/codehaus/groovy/control,210,39,0.555,0.5,2,0.8586206896551725,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/control/messages,17,16,0.94,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/ant,261,51,0.38999999999999996,3.0,3,0.6273972602739726,0,4,4,2.0,33.0,5.0,2.0,0.5,0.0,2.0,0.926829268292683,0.0,2.0,0.0,0.0
src/test/org/codehaus/groovy/classgen,991,1164,2.4496,0.24,25,0.7959100204498978,9,2,11,8.0,33.0,10.0,3.0,0.625,0.0,3.0,0.9556568586821385,2.0,1.0,1.0,2.0
src/test/org/codehaus/groovy/syntax,7,740,105.71,0.0,1,0.9375,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/syntax/parser,12,39,3.25,0.0,1,0.9285714285714286,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/reflection/utils,10,21,2.1,0.0,1,1.0,0,1,1,1.0,28.0,20.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
src/test/org/codehaus/groovy/benchmarks/vm5,84,16,0.16,5.0,2,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/benchmarks/vm5/b2394,137,4,0.02,3.3333333333333335,3,0.7398843930635838,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/org/codehaus/groovy/tools,178,164,0.9039999999999999,1.8,5,0.717948717948718,7,2,9,3.0,83.0,83.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
src/test/org/codehaus/groovy/tools/groovydoc,150,25,0.17,3.0,1,0.8980582524271845,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
src/test/org/codehaus/groovy/dummy,5,4,0.8,0.0,1,0.9090909090909091,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/groovy,164,29,0.244,0.1,10,0.32786885245901637,3,5,8,6.0,89.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,18.0
src/test/groovy/xml,89,98,1.3266666666666667,0.0,3,0.391304347826087,1,4,5,2.0,14.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
src/test/groovy/text,48,54,1.125,0.0,2,0.4214876033057851,2,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/groovy/tree,34,49,1.44,0.0,1,0.9468085106382979,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/groovy/servlet,25,16,0.64,0.0,1,0.94,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
src/test/groovy/vm5,2,16,8.0,0.0,1,1.0,0,1,1,7.0,359.0,217.0,3.0,0.5714285714285714,0.0,3.0,0.7033747779751333,1.0,2.0,0.0,0.0
src/test/groovy/io,22,0,0.0,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/groovy/lang,1371,1251,2.5318181818181813,0.9545454545454546,22,0.5910607071380921,8,2,10,5.0,168.0,48.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
src/test/groovy/txn,40,9,0.245,0.0,2,0.8688524590163934,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/groovy/bugs,212,410,3.3475,0.16666666666666666,12,0.7594202898550725,3,3,6,11.0,45.0,41.0,4.0,0.45454545454545453,0.0,4.0,0.8058659217877095,2.0,2.0,1.0,4.0
src/test/groovy/mock/interceptor,8,0,0.0,1.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/groovy/security,364,108,0.488,8.0,5,0.6070763500931099,6,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/groovy/inspect,212,9,0.04,9.0,1,0.5502008032128514,3,2,5,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
src/test/groovy/util,159,150,1.375,0.3333333333333333,6,0.5906593406593407,1,4,5,4.0,131.0,8.0,3.0,0.5,0.0,3.0,0.6788793103448276,1.0,2.0,1.0,8.0
src/test/gls/ch06/s05,213,27,0.13,0.0,1,0.8969072164948454,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/gls/ch06/s05/testClasses,129,114,0.9533333333333333,0.6666666666666666,6,0.6066666666666667,1,2,3,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
src/test/gls/generics/vm5,70,0,0.0,3.0,1,0.9166666666666666,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
src/test/gls/annotations/vm5,6,16,2.67,0.0,1,1.0,0,1,1,1.0,14.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
src/examples/org/codehaus/groovy/grails/compiler/injection,152,99,0.605,9.0,2,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/examples/swing/binding/caricature,164,15,0.09,10.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/examples/groovy/j2ee,42,55,1.31,3.0,1,0.9439252336448598,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/examples/groovy/swing,90,79,1.13,2.5,2,0.8526315789473684,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/main/org/codehaus/groovy,72,90,1.8566666666666667,1.3333333333333333,3,0.3621621621621622,2,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/main/org/codehaus/groovy/groovydoc,140,227,2.1346153846153846,0.0,13,0.4201474201474201,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/main/org/codehaus/groovy/bsf,158,93,0.59,6.5,2,0.718978102189781,1,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/main/org/codehaus/groovy/ast,2898,1015,0.7604000000000001,11.84,25,0.4062772449869224,13,5,18,16.0,296.0,258.0,5.0,0.375,0.0,5.0,0.7258008956252153,3.0,2.0,1.0,10.0
src/main/org/codehaus/groovy/ast/expr,1638,945,0.8550000000000001,1.45,40,0.4431079323797139,9,4,13,4.0,44.0,11.0,2.0,0.75,0.0,2.0,0.9654320987654321,1.0,1.0,1.0,2.0
src/main/org/codehaus/groovy/ast/stmt,517,387,0.8933333333333334,0.3333333333333333,18,0.6770929162833487,4,3,7,2.0,26.0,1.0,2.0,0.5,0.0,2.0,0.99375,1.0,1.0,0.0,0.0
src/main/org/codehaus/groovy/runtime,8720,6875,1.338235294117647,36.470588235294116,34,0.362749651648862,24,5,29,51.0,1417.0,736.0,7.0,0.5294117647058824,4.0,3.0,0.783635300993571,5.0,2.0,1.0,18.0
src/main/org/codehaus/groovy/runtime/dgmimpl,1154,212,0.554,27.2,5,1.0,0,1,1,3.0,252.0,716.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays,960,285,0.4204761904761905,4.857142857142857,21,1.0,0,1,1,4.0,874.0,555.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0
src/main/org/codehaus/groovy/runtime/metaclass,3041,1552,0.7441666666666668,17.5,24,0.5424305424305425,8,2,10,20.0,548.0,273.0,3.0,0.8,0.0,3.0,0.85925,1.0,2.0,1.0,10.0
