Author,File,NumLines
,src/test/java/org/apache/hadoop/hbase,410.0
,src/test/java/org/apache/hadoop/hbase/catalog,19.0
,src/test/java/org/apache/hadoop/hbase/client,192.0
,src/test/java/org/apache/hadoop/hbase/client/replication,82.0
,src/test/java/org/apache/hadoop/hbase/mapred,216.0
,src/test/java/org/apache/hadoop/hbase/mapreduce,6.0
,src/test/java/org/apache/hadoop/hbase/rest,168.0
,src/test/java/org/apache/hadoop/hbase/thrift,41.0
,src/test/java/org/apache/hadoop/hbase/zookeeper,7.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase,1573.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase/client,194.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase/coprocessor,1880.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase/errorhandling,3.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase/io,131.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase/io/encoding,10.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase/io/hfile,29.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase/mapreduce,3.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase/mapreduce/hadoopbackport,132.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase/mttr,518.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase/rest,3896.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase/rest/client,401.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase/rest/model,1342.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase/snapshot,1.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase/thrift,13.0
Andrew Kyle Purtell,src/test/java/org/apache/hadoop/hbase/zookeeper,268.0
Andrew Kyle Purtell,src/test/ruby,20.0
Andrew Kyle Purtell,src/test/ruby/hbase,100.0
Andrew Kyle Purtell,src/test/ruby/shell,60.0
Andrew Purtell,src/test/java/org/apache/hadoop/hbase,149.0
Andrew Purtell,src/test/java/org/apache/hadoop/hbase/coprocessor,125.0
Andrew Purtell,src/test/java/org/apache/hadoop/hbase/mapreduce,94.0
Bryan Duxbury,src/test/java/org/apache/hadoop/hbase,332.0
Devaraj Das,src/test/java/org/apache/hadoop/hbase/mapreduce/hadoopbackport,577.0
Doug Cutting,src/test/java/org/apache/hadoop/hbase,42.0
Enis Soztutar,src/test/java/org/apache/hadoop/hbase,1443.0
Enis Soztutar,src/test/java/org/apache/hadoop/hbase/backup,2.0
Enis Soztutar,src/test/java/org/apache/hadoop/hbase/client,164.0
Enis Soztutar,src/test/java/org/apache/hadoop/hbase/coprocessor,83.0
Enis Soztutar,src/test/java/org/apache/hadoop/hbase/io/hfile,2.0
Enis Soztutar,src/test/java/org/apache/hadoop/hbase/mapreduce,44.0
Enis Soztutar,src/test/java/org/apache/hadoop/hbase/rest/client,518.0
Enis Soztutar,src/test/java/org/apache/hadoop/hbase/test,1367.0
Enis Soztutar,src/test/java/org/apache/hadoop/hbase/zookeeper,123.0
Gary Helmling,src/test/java/org/apache/hadoop/hbase,13.0
Gary Helmling,src/test/java/org/apache/hadoop/hbase/catalog,3.0
Gary Helmling,src/test/java/org/apache/hadoop/hbase/client,8.0
Gary Helmling,src/test/java/org/apache/hadoop/hbase/coprocessor,1462.0
Gary Helmling,src/test/java/org/apache/hadoop/hbase/zookeeper,227.0
Jim Kellerman,src/test/java/org/apache/hadoop/hbase,253.0
Jonathan Gray,src/test/java/org/apache/hadoop/hbase,468.0
Jonathan Gray,src/test/java/org/apache/hadoop/hbase/client,830.0
