File,SLOC,Comments,Ratio_code_comment,McCabe,NumFiles,Ownership_Lines,Minor_Lines,Major_lines,LineAuthors,Commits,LineAdded,LineDeleted,CommitAuthors,Ownership_Commits,Minor_Commits,Major_Commits,Ownership_Churn,Minor_Churn,Major_Churn,HasBug,BugCount
src/test/ruby,91,43,0.49,3.0,2,0.8627450980392157,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/ruby/hbase,596,96,0.36000000000000004,0.0,3,0.8002392344497608,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/ruby/shell,80,69,1.0166666666666668,0.0,3,0.6473988439306358,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase,9598,3577,1.2426415094339625,11.169811320754716,53,0.4140740740740741,24,4,28,16.0,259.0,164.0,4.0,0.5,0.0,4.0,0.4601194526347622,0.0,4.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/thrift,678,206,0.25,9.0,3,0.5283757338551859,4,3,7,5.0,76.0,59.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/mapreduce,3901,1092,0.455,8.045454545454545,22,0.2949194547707559,13,4,17,1.0,10.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/mapreduce/hadoopbackport,523,115,0.225,4.75,4,0.8138222849083215,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/client,9251,2257,0.44580645161290317,9.290322580645162,31,0.3923716012084592,15,6,21,9.0,448.0,1197.0,4.0,0.5555555555555556,0.0,4.0,0.7743097238895558,2.0,2.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/client/replication,73,38,0.52,0.0,1,0.6721311475409836,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/zookeeper,1289,344,0.3155555555555556,4.666666666666667,9,0.3297529538131042,4,5,9,1.0,14.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/errorhandling,160,109,0.7066666666666667,0.0,3,0.9902597402597403,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/test,1127,199,0.165,53.0,2,0.8796653796653797,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/backup,265,96,0.36,15.0,1,0.5688073394495413,2,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/mapred,403,191,0.465,10.0,2,0.5173978819969742,0,4,4,1.0,17.0,11.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/mttr,302,133,0.44,8.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/coprocessor,5738,1179,0.9896000000000003,7.24,25,0.24884851586489254,9,5,14,5.0,181.0,87.0,2.0,0.8,0.0,2.0,0.7217898832684825,0.0,2.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/coprocessor/example,433,63,0.20500000000000002,9.0,2,0.7579143389199255,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/rest,3578,582,0.21846153846153848,10.153846153846153,13,0.8280552603613177,6,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/rest/model,1015,228,0.24333333333333332,0.3333333333333333,12,0.902488231338265,2,2,4,1.0,31.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/rest/client,811,99,0.1475,2.75,4,0.5014520813165537,3,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/thrift2,731,97,0.13,18.0,1,0.5005086469989827,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/migration,32,22,0.69,0.0,1,0.9354838709677419,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/snapshot,1658,520,0.35545454545454547,5.7272727272727275,11,0.9634295002031694,4,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/catalog,650,262,0.41333333333333333,3.6666666666666665,3,0.7455268389662028,5,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/io,1055,293,0.286,9.4,5,0.39029126213592236,6,6,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/io/encoding,952,210,0.32142857142857145,9.857142857142858,7,0.9655946148092744,4,1,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/io/hfile,5559,1448,0.33296296296296285,14.74074074074074,27,0.3520206998521439,9,4,13,3.0,139.0,64.0,2.0,0.6666666666666666,0.0,2.0,0.9973783862510923,1.0,1.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/io/hfile/slab,161,82,0.52,2.0,3,0.8551236749116607,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/filter,4021,998,0.3976190476190476,7.238095238095238,21,0.46445993031358884,5,5,10,2.0,195.0,87.0,2.0,0.5,0.0,2.0,0.974841660802252,1.0,1.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/regionserver,17790,3930,0.33476923076923093,15.384615384615385,65,0.35026276728045896,20,6,26,14.0,2929.0,2373.0,4.0,0.35714285714285715,0.0,4.0,0.633057686559729,2.0,2.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/regionserver/wal,4361,1101,0.6057142857142856,12.666666666666666,21,0.49296912881849037,13,5,18,6.0,73.0,15.0,4.0,0.5,0.0,4.0,0.9739130434782609,3.0,1.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/regionserver/handler,305,118,0.395,0.0,2,0.4140127388535032,2,4,6,2.0,55.0,45.0,2.0,0.5,0.0,2.0,0.624830852503383,0.0,2.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/regionserver/metrics,353,72,0.2,7.5,2,0.9196787148594378,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/constraint,336,237,1.7585714285714287,1.5714285714285714,7,0.9531722054380665,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/procedure,1184,446,0.378,4.4,5,0.9833512352309345,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/executor,119,32,0.27,5.0,1,0.7582417582417582,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/avro,166,78,0.655,0.5,2,0.7038327526132404,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/monitoring,104,55,0.535,1.0,2,0.9042553191489362,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/metrics,273,72,0.37,3.0,4,0.4420289855072464,2,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/test/java/org/apache/hadoop/hbase/security,72,28,0.39,1.0,1,0.7017543859649122,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
