File,SLOC,Comments,Ratio_code_comment,McCabe,NumFiles,Ownership_Lines,Minor_Lines,Major_lines,LineAuthors,Commits,LineAdded,LineDeleted,CommitAuthors,Ownership_Commits,Minor_Commits,Major_Commits,Ownership_Churn,Minor_Churn,Major_Churn,HasBug,BugCount
contrib/src/test/org/apache/hadoop/hive/contrib/mr,96,22,0.23,5.0,1,0.5944055944055944,0,3,3,1.0,11.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
contrib/src/test/org/apache/hadoop/hive/contrib/serde2,53,30,0.57,0.0,1,0.6530612244897959,1,2,3,1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64,206,86,0.42500000000000004,6.5,2,0.7181008902077152,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrib/src/java/org/apache/hadoop/hive/contrib/udaf/example,627,281,1.19,8.714285714285714,7,0.3292797006548176,2,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrib/src/java/org/apache/hadoop/hive/contrib/mr,156,130,5.170000000000001,1.25,4,0.8504672897196262,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrib/src/java/org/apache/hadoop/hive/contrib/mr/example,37,43,1.1800000000000002,0.5,2,0.8021978021978022,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrib/src/java/org/apache/hadoop/hive/contrib/genericudf/example,117,43,0.37,9.0,1,0.5625,1,2,3,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
contrib/src/java/org/apache/hadoop/hive/contrib/serde2,471,113,0.28500000000000003,13.0,2,0.6854961832061068,3,2,5,1.0,6.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
contrib/src/java/org/apache/hadoop/hive/contrib/serde2/s3,154,74,0.7849999999999999,4.0,2,0.5914396887159533,2,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrib/src/java/org/apache/hadoop/hive/contrib/udf,19,21,1.11,0.0,1,0.9782608695652174,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrib/src/java/org/apache/hadoop/hive/contrib/udf/example,85,105,1.476,2.4,5,0.8148148148148148,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrib/src/java/org/apache/hadoop/hive/contrib/metastore/hooks,19,21,1.11,2.0,1,0.625,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrib/src/java/org/apache/hadoop/hive/contrib/util/typedbytes,1389,644,0.6759999999999999,19.2,10,0.937227550130776,6,1,7,1.0,18.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
contrib/src/java/org/apache/hadoop/hive/contrib/udtf/example,84,43,0.5449999999999999,1.5,2,0.423841059602649,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
builtins/src/org/apache/hive/builtins,86,51,2.925,2.0,2,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hwi/src/test/org/apache/hadoop/hive/hwi,212,57,0.385,7.5,2,0.684375,2,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hwi/src/java/org/apache/hadoop/hive/hwi,659,412,0.8866666666666667,11.5,6,0.6275,4,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ant/src/org/apache/hadoop/hive/ant,367,108,0.7000000000000001,13.666666666666666,3,0.35751295336787564,4,4,8,1.0,22.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
