Author,File,NumLines
Amareshwari Sri Ramadasu,contrib/src/java/org/apache/hadoop/hive/contrib/util/typedbytes,13.0
Amareshwari Sri Ramadasu,hwi/src/java/org/apache/hadoop/hive/hwi,2.0
Amareshwari Sri Ramadasu,shims/src/0.20/java/org/apache/hadoop/hive/shims,4.0
Amareshwari Sri Ramadasu,shims/src/0.20S/java/org/apache/hadoop/hive/shims,3.0
Amareshwari Sri Ramadasu,shims/src/0.23/java/org/apache/hadoop/hive/shims,2.0
Amareshwari Sri Ramadasu,shims/src/common-secure/java/org/apache/hadoop/hive/shims,480.0
Amareshwari Sri Ramadasu,shims/src/common-secure/java/org/apache/hadoop/hive/thrift,49.0
Amareshwari Sri Ramadasu,shims/src/common-secure/java/org/apache/hadoop/hive/thrift/client,1.0
Amareshwari Sri Ramadasu,shims/src/common-secure/test/org/apache/hadoop/hive/thrift,122.0
Amareshwari Sri Ramadasu,shims/src/common/java/org/apache/hadoop/hive/shims,10.0
Amareshwari Sri Ramadasu,shims/src/common/java/org/apache/hadoop/hive/thrift,4.0
Ashish Thusoo,ant/src/org/apache/hadoop/hive/ant,16.0
Ashish Thusoo,contrib/src/java/org/apache/hadoop/hive/contrib/udaf/example,352.0
Ashish Thusoo,hwi/src/java/org/apache/hadoop/hive/hwi,93.0
Ashish Thusoo,hwi/src/test/org/apache/hadoop/hive/hwi,12.0
Ashutosh Chauhan,ant/src/org/apache/hadoop/hive/ant,143.0
Ashutosh Chauhan,contrib/src/java/org/apache/hadoop/hive/contrib/genericudf/example,5.0
Ashutosh Chauhan,contrib/src/java/org/apache/hadoop/hive/contrib/serde2,11.0
Ashutosh Chauhan,contrib/src/java/org/apache/hadoop/hive/contrib/serde2/s3,6.0
Ashutosh Chauhan,contrib/src/java/org/apache/hadoop/hive/contrib/udtf/example,1.0
Ashutosh Chauhan,contrib/src/java/org/apache/hadoop/hive/contrib/util/typedbytes,18.0
Ashutosh Chauhan,contrib/src/test/org/apache/hadoop/hive/contrib/mr,11.0
Ashutosh Chauhan,contrib/src/test/org/apache/hadoop/hive/contrib/serde2,3.0
Ashutosh Chauhan,hwi/src/java/org/apache/hadoop/hive/hwi,1.0
Ashutosh Chauhan,hwi/src/test/org/apache/hadoop/hive/hwi,2.0
Ashutosh Chauhan,jdbc/src/java/org/apache/hadoop/hive/jdbc,381.0
Ashutosh Chauhan,jdbc/src/java/org/apache/hive/jdbc,8087.0
Ashutosh Chauhan,jdbc/src/test/org/apache/hadoop/hive/jdbc,113.0
Ashutosh Chauhan,jdbc/src/test/org/apache/hive/jdbc,1239.0
