File,Author,NumCommits
,Nick Sieger,16.0
bench,Nick Sieger,
bench/ffi,Nick Sieger,
bench/java,Nick Sieger,
bench/language,Nick Sieger,
bin,Nick Sieger,10.0
build_lib,Nick Sieger,
gem,Nick Sieger,2.0
gem/lib,Nick Sieger,
gem/lib/jruby-jars,Nick Sieger,1.0
lib/ruby/1.8,Nick Sieger,2.0
lib/ruby/1.8/cgi,Nick Sieger,
lib/ruby/1.8/cgi/session,Nick Sieger,
lib/ruby/1.8/date,Nick Sieger,
lib/ruby/1.8/drb,Nick Sieger,
lib/ruby/1.8/ffi,Nick Sieger,
lib/ruby/1.8/ffi/platform,Nick Sieger,
lib/ruby/1.8/ffi/platform/i386-darwin,Nick Sieger,
lib/ruby/1.8/ffi/platform/i386-linux,Nick Sieger,
lib/ruby/1.8/ffi/platform/i386-openbsd,Nick Sieger,
lib/ruby/1.8/ffi/platform/i386-solaris,Nick Sieger,
lib/ruby/1.8/ffi/platform/i386-windows,Nick Sieger,
lib/ruby/1.8/ffi/platform/powerpc-aix,Nick Sieger,
lib/ruby/1.8/ffi/platform/ppc-darwin,Nick Sieger,
lib/ruby/1.8/ffi/platform/sparc-solaris,Nick Sieger,
lib/ruby/1.8/ffi/platform/sparcv9-solaris,Nick Sieger,
lib/ruby/1.8/ffi/platform/x86_64-darwin,Nick Sieger,
lib/ruby/1.8/ffi/platform/x86_64-linux,Nick Sieger,
lib/ruby/1.8/ffi/platform/x86_64-solaris,Nick Sieger,
lib/ruby/1.8/ffi/tools,Nick Sieger,
lib/ruby/1.8/net,Nick Sieger,
lib/ruby/1.8/rdoc,Nick Sieger,
lib/ruby/1.8/rdoc/parsers,Nick Sieger,
lib/ruby/1.8/rdoc/ri,Nick Sieger,
lib/ruby/1.8/rexml,Nick Sieger,
lib/ruby/1.8/rexml/encodings,Nick Sieger,
lib/ruby/1.8/rexml/formatters,Nick Sieger,
lib/ruby/1.8/rexml/parsers,Nick Sieger,
lib/ruby/1.8/rinda,Nick Sieger,
lib/ruby/1.8/rss,Nick Sieger,
lib/ruby/1.8/rss/maker,Nick Sieger,
lib/ruby/1.8/shell,Nick Sieger,
