File,SLOC,Comments,Ratio_code_comment,McCabe,NumFiles,Ownership_Lines,Minor_Lines,Major_lines,LineAuthors,Commits,LineAdded,LineDeleted,CommitAuthors,Ownership_Commits,Minor_Commits,Major_Commits,Ownership_Churn,Minor_Churn,Major_Churn,HasBug,BugCount
maven/jruby-rake-plugin/src/main/java/org/jruby/maven,260,71,0.38166666666666665,4.0,6,1.0,0,1,1,1.0,27.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
src/org/jruby,49786,9658,0.4436046511627907,82.3953488372093,86,0.2722008837034684,37,4,41,376.0,10031.0,4510.0,20.0,0.4015957446808511,14.0,6.0,0.5814033151274097,16.0,4.0,1.0,172.0
src/org/jruby/ast,7183,6484,1.1536723163841807,2.1920903954802258,177,0.63847037793667,10,3,13,20.0,233.0,129.0,4.0,0.5,0.0,4.0,0.838700180326059,2.0,2.0,1.0,17.0
src/org/jruby/ast/java_signature,305,55,0.2711111111111111,2.2222222222222223,9,0.9343544857768052,0,2,2,7.0,138.0,107.0,2.0,0.7142857142857143,0.0,2.0,0.8868305826877737,0.0,2.0,0.0,0.0
src/org/jruby/ast/types,20,99,6.205,0.0,4,0.8333333333333334,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/org/jruby/ast/visitor,201,39,0.19,0.0,1,0.40082644628099173,2,3,5,2.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
src/org/jruby/ast/executable,790,68,0.049999999999999996,19.666666666666668,3,1.0,0,1,1,4.0,147.0,404.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
src/org/jruby/ast/util,357,64,0.64,53.5,2,0.6981891348088531,5,3,8,7.0,94.0,68.0,3.0,0.5714285714285714,0.0,3.0,0.8334606569900688,0.0,3.0,0.0,0.0
src/org/jruby/runtime,4130,2104,1.4523076923076923,7.9743589743589745,39,0.6924040066777963,13,2,15,29.0,927.0,449.0,5.0,0.8275862068965517,3.0,2.0,0.5440592465385854,2.0,3.0,1.0,6.0
src/org/jruby/runtime/marshal,757,201,1.9483333333333335,19.166666666666668,6,0.3519706691109074,10,5,15,7.0,149.0,109.0,5.0,0.2857142857142857,0.0,5.0,0.8737280296022202,4.0,1.0,1.0,5.0
