Author,File,NumLines
,core/src/main/java/org/jruby,13.0
Alan Moore,core/src/main/java/org/jruby,385.0
Alan Moore,core/src/test/java/org/jruby/test,33.0
Alex Dowad,core/src/main/java/org/jruby,3.0
Alex Tambellini,core/src/main/java/org/jruby,250.0
Alex Tambellini,core/src/main/ruby/jruby/java,4.0
Alex Tambellini,core/src/main/ruby/jruby/java/java_ext,1.0
Aliaksei Palkanau,core/src/main/java/org/jruby/ir,13.0
Aliaksei Palkanau,core/src/main/java/org/jruby/ir/instructions,3.0
Aliaksei Palkanau,core/src/main/java/org/jruby/ir/operands,67.0
Anders Bengtsson,core/src/main/java/org/jruby,654.0
Anders Bengtsson,core/src/main/ruby/jruby,3.0
Anders Bengtsson,core/src/test/java/org/jruby/javasupport/test,24.0
Anders Bengtsson,core/src/test/java/org/jruby/test,109.0
Andy Lindeman,core/src/main/java/org/jruby,6.0
Anthony W. Juckel,core/src/main/java/org/jruby,6.0
Anthony W. Juckel,maven/jruby-complete/src/it/legacy-osgi-test/src/test/java/org/jruby/embed/osgi/test,79.0
Antoine Toulme,core/src/main/java/org/jruby,3.0
Ben Browning,core/src/main/java/org/jruby,21.0
Ben Browning,core/src/main/ruby/jruby/kernel/jruby,2.0
Ben Browning,core/src/test/java/org/jruby/test,33.0
Benoit Cerrina,core/src/main/java/org/jruby,25.0
Benoit Cerrina,core/src/test/java/org/jruby/test,45.0
Benoit Daloze,core/src/main/java/org/jruby,193.0
Benoit Daloze,core/src/test/java/org/jruby/util,14.0
Bill Dortch,core/src/main/java/org/jruby,729.0
Bill Dortch,core/src/main/ruby/jruby/java,1.0
Bill Dortch,core/src/main/ruby/jruby/java/java_ext,9.0
Bill Dortch,core/src/test/java/org/jruby/test,9.0
Bob Beaty,core/src/main/java/org/jruby,7.0
Bob McWhirter,core/src/main/java/org/jruby,68.0
Brad Heller,core/src/main/java/org/jruby,28.0
Brian Browning,core/src/main/java/org/jruby,5.0
Chad Fowler,core/src/main/java/org/jruby,18.0
Chad Fowler,core/src/test/java/org/jruby/test,54.0
Charles Oliver Nutter,core/src/main/java/org/jruby,30401.0
Charles Oliver Nutter,core/src/main/java/org/jruby/ir,231.0
Charles Oliver Nutter,core/src/main/java/org/jruby/ir/instructions,817.0
Charles Oliver Nutter,core/src/main/java/org/jruby/ir/interpreter,3.0
Charles Oliver Nutter,core/src/main/java/org/jruby/ir/operands,392.0
Charles Oliver Nutter,core/src/main/java/org/jruby/ir/passes,14.0
Charles Oliver Nutter,core/src/main/java/org/jruby/ir/runtime,3.0
Charles Oliver Nutter,core/src/main/resources/org/jruby/runtime,74.0
Charles Oliver Nutter,core/src/main/ruby/jruby,199.0
Charles Oliver Nutter,core/src/main/ruby/jruby/bundler,4.0
Charles Oliver Nutter,core/src/main/ruby/jruby/java,39.0
Charles Oliver Nutter,core/src/main/ruby/jruby/java/core_ext,131.0
Charles Oliver Nutter,core/src/main/ruby/jruby/java/java_ext,232.0
Charles Oliver Nutter,core/src/main/ruby/jruby/kernel,44.0
