File,Author,ChurnSize
,Uwe Schindler,16802.0
contrib,Uwe Schindler,625.0
contrib/analyzers/common,Uwe Schindler,1325.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar,Uwe Schindler,3279.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/br,Uwe Schindler,3279.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/cjk,Uwe Schindler,3279.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/cn,Uwe Schindler,1325.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound,Uwe Schindler,3587.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound/hyphenation,Uwe Schindler,909.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/cz,Uwe Schindler,1954.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/de,Uwe Schindler,3748.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/el,Uwe Schindler,3279.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/fa,Uwe Schindler,1943.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/fr,Uwe Schindler,6010.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/miscellaneous,Uwe Schindler,3675.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram,Uwe Schindler,4207.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/nl,Uwe Schindler,3748.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/payloads,Uwe Schindler,3587.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/position,Uwe Schindler,3587.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/query,Uwe Schindler,1804.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/reverse,Uwe Schindler,1325.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ru,Uwe Schindler,3748.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/shingle,Uwe Schindler,5870.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/sinks,Uwe Schindler,3587.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/th,Uwe Schindler,4951.0
contrib/analyzers/common/src/resources/org/apache/lucene/analysis/ar,Uwe Schindler,
contrib/analyzers/common/src/test/org/apache/lucene/analysis/ar,Uwe Schindler,
contrib/analyzers/common/src/test/org/apache/lucene/analysis/br,Uwe Schindler,
contrib/analyzers/common/src/test/org/apache/lucene/analysis/cjk,Uwe Schindler,1325.0
contrib/analyzers/common/src/test/org/apache/lucene/analysis/cn,Uwe Schindler,1325.0
contrib/analyzers/common/src/test/org/apache/lucene/analysis/compound,Uwe Schindler,1325.0
