Author,File,NumLines
Andrzej Bialecki,solr/core/src/test/org/apache/solr/handler/component,1.0
Andrzej Bialecki,solr/core/src/test/org/apache/solr/spelling/suggest,83.0
Bertrand Delacretaz,solr/core/src/java/org/apache/solr/core,11.0
Bertrand Delacretaz,solr/core/src/java/org/apache/solr/response,32.0
Bertrand Delacretaz,solr/core/src/test/org/apache/solr,66.0
Chris M. Hostetter,solr/contrib/dataimporthandler-extras/src/java/org/apache/solr/handler/dataimport,18.0
Chris M. Hostetter,solr/contrib/dataimporthandler-extras/src/test/org/apache/solr/handler/dataimport,2.0
Chris M. Hostetter,solr/contrib/dataimporthandler/src/java/org/apache/solr/handler/dataimport,9.0
Chris M. Hostetter,solr/contrib/dataimporthandler/src/test/org/apache/solr/handler/dataimport,93.0
Chris M. Hostetter,solr/core/src/java/org/apache/solr/client/solrj/embedded,19.0
Chris M. Hostetter,solr/core/src/java/org/apache/solr/core,466.0
Chris M. Hostetter,solr/core/src/java/org/apache/solr/request,730.0
Chris M. Hostetter,solr/core/src/java/org/apache/solr/response,336.0
Chris M. Hostetter,solr/core/src/java/org/apache/solr/search,739.0
Chris M. Hostetter,solr/core/src/java/org/apache/solr/search/function,112.0
Chris M. Hostetter,solr/core/src/java/org/apache/solr/search/function/distance,11.0
Chris M. Hostetter,solr/core/src/test/org/apache/solr,2045.0
Chris M. Hostetter,solr/core/src/test/org/apache/solr/analysis,272.0
Chris M. Hostetter,solr/core/src/test/org/apache/solr/core,275.0
Chris M. Hostetter,solr/core/src/test/org/apache/solr/handler,227.0
Chris M. Hostetter,solr/core/src/test/org/apache/solr/handler/admin,182.0
Chris M. Hostetter,solr/core/src/test/org/apache/solr/request,1650.0
Chris M. Hostetter,solr/core/src/test/org/apache/solr/response,107.0
Chris M. Hostetter,solr/core/src/test/org/apache/solr/schema,395.0
Chris M. Hostetter,solr/core/src/test/org/apache/solr/search,275.0
Chris M. Hostetter,solr/core/src/test/org/apache/solr/search/function,76.0
Chris M. Hostetter,solr/core/src/test/org/apache/solr/search/function/distance,64.0
Chris M. Hostetter,solr/core/src/test/org/apache/solr/servlet,497.0
Chris M. Hostetter,solr/core/src/test/org/apache/solr/update,34.0
Chris M. Hostetter,solr/core/src/test/org/apache/solr/update/processor,128.0
Chris M. Hostetter,solr/core/src/test/org/apache/solr/util,630.0
Christian Moen,solr/core/src/test/org/apache/solr/analysis,16.0
Christopher John Male,solr/core/src/java/org/apache/solr/core,6.0
Christopher John Male,solr/core/src/java/org/apache/solr/response,9.0
Christopher John Male,solr/core/src/java/org/apache/solr/search,2.0
Christopher John Male,solr/core/src/test/org/apache/solr/handler,6.0
