File,SLOC,Comments,Ratio_code_comment,McCabe,NumFiles,Ownership_Lines,Minor_Lines,Major_lines,LineAuthors,Commits,LineAdded,LineDeleted,CommitAuthors,Ownership_Commits,Minor_Commits,Major_Commits,Ownership_Churn,Minor_Churn,Major_Churn,HasBug,BugCount
dev-tools/scripts,1073,150,0.26999999999999996,76.5,4,0.4283667621776504,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0
solr/contrib/uima/src/test/org/apache/solr/uima/processor,158,23,0.15,0.0,1,0.5714285714285714,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
solr/contrib/uima/src/test/org/apache/solr/uima/processor/an,72,49,0.8966666666666666,2.6666666666666665,3,0.7357142857142858,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
solr/contrib/uima/src/test/org/apache/solr/uima/ts,183,98,0.575,4.5,4,0.7541899441340782,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/contrib/uima/src/java/org/apache/solr/uima/processor,324,128,0.508,5.2,5,0.6457142857142857,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
solr/contrib/uima/src/java/org/apache/solr/uima/processor/exception,5,19,3.8,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/contrib/uima/src/java/org/apache/solr/uima/processor/ae,102,72,1.6199999999999999,5.333333333333333,3,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/contrib/dataimporthandler-extras/src/test/org/apache/solr/handler/dataimport,209,55,0.3,0.5,2,0.821917808219178,3,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
solr/contrib/dataimporthandler-extras/src/java/org/apache/solr/handler/dataimport,666,73,0.125,52.0,2,0.7301980198019802,6,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
solr/contrib/analysis-extras/src/test/org/apache/solr/analysis,412,233,0.8666666666666667,0.0,9,0.8979020979020979,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/contrib/analysis-extras/src/java/org/apache/solr/analysis,245,228,1.4537499999999999,5.75,8,0.981203007518797,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/contrib/dataimporthandler/src/test/org/apache/solr/handler/dataimport,5662,1114,0.33418604651162787,3.7209302325581395,43,0.4629700936978565,6,7,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
solr/contrib/dataimporthandler/src/java/org/apache/solr/handler/dataimport,6729,2669,1.822586206896552,19.5,58,0.6491689360503333,11,3,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0
solr/contrib/langid/src/test/org/apache/solr/update/processor,211,60,0.9,0.6666666666666666,3,0.7028753993610224,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
solr/contrib/langid/src/java/org/apache/solr/update/processor,478,271,1.1500000000000001,9.285714285714286,7,0.7784431137724551,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
solr/contrib/clustering/src/test/org/apache/solr/handler/clustering,238,85,0.6399999999999999,0.5,4,0.4116222760290557,3,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
solr/contrib/clustering/src/test/org/apache/solr/handler/clustering/carrot2,538,96,0.3225,5.25,4,0.4444444444444444,1,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
solr/contrib/clustering/src/java/org/apache/solr/handler/clustering,256,157,2.026,8.4,5,0.7043478260869566,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
solr/contrib/clustering/src/java/org/apache/solr/handler/clustering/carrot2,751,261,0.45199999999999996,13.2,5,0.46074201898188094,0,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
solr/contrib/extraction/src/test/org/apache/solr/handler/extraction,346,56,0.16,0.0,1,0.5701943844492441,1,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
solr/contrib/extraction/src/java/org/apache/solr/handler/extraction,520,320,1.9233333333333331,10.333333333333334,6,0.7258566978193146,6,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
solr/contrib/velocity/src/test/org/apache/solr/velocity,33,17,0.52,0.0,1,0.3684210526315789,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
solr/contrib/velocity/src/java/org/apache/solr/response,253,100,0.44499999999999995,4.5,4,0.8578431372549019,7,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
solr/core/src/test/org/apache/solr,3505,649,0.37785714285714284,5.571428571428571,14,0.42764533667921373,16,3,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0
solr/core/src/test/org/apache/solr/response,173,63,0.375,0.5,2,0.5559440559440559,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
solr/core/src/test/org/apache/solr/core,1616,578,0.5055555555555555,1.1111111111111112,27,0.2651544779037935,9,6,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0
solr/core/src/test/org/apache/solr/request,2046,220,0.2733333333333334,5.166666666666667,6,0.6573705179282868,6,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
solr/core/src/test/org/apache/solr/search,3208,940,0.33666666666666667,12.11111111111111,18,0.5703963666391412,10,4,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0
solr/core/src/test/org/apache/solr/search/function,471,136,0.49333333333333335,7.0,3,0.5949720670391061,6,4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
solr/core/src/test/org/apache/solr/search/function/distance,151,40,0.26,0.0,1,0.6484018264840182,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
solr/core/src/test/org/apache/solr/analysis,5336,2354,0.8736559139784945,0.7634408602150538,93,0.39599258744498494,11,6,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/core/src/test/org/apache/solr/schema,1494,423,0.49555555555555564,3.7222222222222223,18,0.22385402759234535,4,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0
solr/core/src/test/org/apache/solr/update,840,281,0.6399999999999999,2.5,8,0.2428139183055976,3,8,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
solr/core/src/test/org/apache/solr/update/processor,448,108,0.53,2.2,5,0.27987897125567324,2,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
solr/core/src/test/org/apache/solr/servlet,575,129,0.254,4.6,5,0.6024242424242424,4,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
solr/core/src/test/org/apache/solr/highlight,758,122,0.47750000000000004,0.5,4,0.3686818632309217,4,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
solr/core/src/test/org/apache/solr/spelling,935,196,0.5425,1.75,8,0.6334379905808477,6,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
solr/core/src/test/org/apache/solr/spelling/suggest,117,86,1.7939999999999998,0.2,5,0.6327433628318584,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
solr/core/src/test/org/apache/solr/handler,2379,508,0.2576923076923077,2.6153846153846154,13,0.2377025036818851,8,7,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0
solr/core/src/test/org/apache/solr/handler/admin,273,92,0.495,2.0,4,0.4200913242009132,1,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
solr/core/src/test/org/apache/solr/handler/component,1363,255,0.364,1.5,10,0.4113551151580075,6,7,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0
solr/core/src/test/org/apache/solr/util,983,195,0.35714285714285715,10.285714285714286,7,0.45454545454545453,7,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
solr/core/src/java/org/apache/solr/response,2786,1082,1.2483333333333333,25.61111111111111,18,0.6246672582076309,13,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
solr/core/src/java/org/apache/solr/core,4026,1838,1.4132142857142855,15.75,28,0.2985965959988056,17,6,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0
solr/core/src/java/org/apache/solr/client/solrj/embedded,269,114,0.43,11.5,2,0.6981566820276498,4,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
solr/core/src/java/org/apache/solr/request,1973,1189,2.202758620689654,10.586206896551724,29,0.5010840108401085,7,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
solr/core/src/java/org/apache/solr/search,8575,3452,1.455901639344262,20.34426229508197,61,0.6427084081280965,16,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0
solr/core/src/java/org/apache/solr/search/function,2927,985,0.6143589743589742,4.743589743589744,39,0.6688654353562006,8,3,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
solr/core/src/java/org/apache/solr/search/function/distance,704,202,0.3514285714285714,8.285714285714286,7,0.9324577861163227,4,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
solr/core/src/java/org/apache/solr/search/grouping,270,99,1.2933333333333332,6.0,3,0.9298642533936652,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
solr/core/src/java/org/apache/solr/search/grouping/collector,38,26,0.68,1.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/core/src/java/org/apache/solr/search/grouping/distributed,12,56,4.67,0.0,2,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/core/src/java/org/apache/solr/search/grouping/distributed/requestfactory,192,92,0.5433333333333333,10.666666666666666,3,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/core/src/java/org/apache/solr/search/grouping/distributed/command,304,92,0.4975,3.25,4,0.9472573839662447,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
solr/core/src/java/org/apache/solr/search/grouping/distributed/shardresultserializer,295,91,1.8233333333333333,15.333333333333334,3,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
solr/core/src/java/org/apache/solr/search/grouping/distributed/responseprocessor,204,67,0.43,11.333333333333334,3,0.99,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
solr/core/src/java/org/apache/solr/search/grouping/endresulttransformer,167,99,1.095,6.0,4,0.8888888888888888,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
solr/core/src/java/org/apache/solr/analysis,5396,5695,1.953888888888889,4.388888888888889,144,0.2685356253514338,13,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
solr/core/src/java/org/apache/solr/schema,5086,2321,1.398222222222222,8.777777777777779,45,0.32878946755213795,12,5,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
solr/core/src/java/org/apache/solr/update,1525,661,0.8869230769230767,15.538461538461538,13,0.5670995670995671,14,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0
solr/core/src/java/org/apache/solr/update/processor,794,372,0.7753846153846153,6.538461538461538,13,0.2922272047832586,6,5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0
solr/core/src/java/org/apache/solr/servlet,1079,352,0.5614285714285714,20.142857142857142,7,0.2979767014101778,13,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
solr/core/src/java/org/apache/solr/servlet/cache,200,130,0.97,9.5,2,0.819371727748691,3,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
solr/core/src/java/org/apache/solr/highlight,1207,669,1.0895000000000004,5.6,20,0.47605893186003684,9,4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
solr/core/src/java/org/apache/solr/spelling,949,550,0.7642857142857142,6.5,14,0.8030570252792475,10,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
solr/core/src/java/org/apache/solr/spelling/suggest,163,53,1.3,12.5,2,0.759493670886076,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
solr/core/src/java/org/apache/solr/spelling/suggest/jaspell,21,19,0.9,0.0,1,0.4888888888888889,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
solr/core/src/java/org/apache/solr/spelling/suggest/tst,17,19,1.12,0.0,1,0.5365853658536586,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
solr/core/src/java/org/apache/solr/spelling/suggest/fst,47,63,1.335,0.0,2,0.8125,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
solr/core/src/java/org/apache/solr/internal/csv,858,697,0.8650000000000001,26.333333333333332,6,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
solr/core/src/java/org/apache/solr/internal/csv/writer,353,300,0.9400000000000001,10.0,4,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
solr/core/src/java/org/apache/solr/handler,5116,1655,0.5771999999999999,28.52,25,0.3518106942083932,10,7,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0
solr/core/src/java/org/apache/solr/handler/admin,1645,498,0.3533333333333333,22.444444444444443,9,0.5661072451903397,11,4,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0
solr/core/src/java/org/apache/solr/handler/component,4837,1343,0.7717391304347825,32.73913043478261,23,0.2690964949029465,13,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0
solr/core/src/java/org/apache/solr/tst,286,85,0.305,11.5,2,0.841541755888651,4,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/core/src/java/org/apache/solr/util,2786,1690,1.8634615384615378,15.076923076923077,26,0.2926444488266614,13,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0
solr/core/src/java/org/apache/solr/util/plugin,207,243,2.745,1.75,8,0.8248031496062992,2,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
solr/core/src/java/org/apache/solr/util/xslt,78,33,0.42,4.0,1,0.6953125,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
solr/client/ruby/flare/test,8,34,4.25,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/test/functional,13,13,1.0,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/db,0,11,1.0,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/app/controllers,8,27,3.635,0.0,2,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/app/helpers,6,34,5.666666666666667,0.0,3,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/config,67,92,1.97,2.0,3,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/config/environments,16,61,4.526666666666666,0.0,3,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/script,9,12,1.33,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/vendor/plugins/flare,2,22,11.0,0.0,2,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/vendor/plugins/flare/test,19,11,0.58,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/vendor/plugins/flare/app/controllers,28,42,3.65,0.0,3,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/vendor/plugins/flare/app/helpers,5,11,2.2,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/vendor/plugins/flare/lib,3,11,3.67,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/vendor/plugins/flare/lib/flare,220,48,0.22999999999999998,2.5,2,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/vendor/plugins/engines,32,11,0.27,1.0,2,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/vendor/plugins/engines/generators/plugin_migration,52,12,0.23,4.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/vendor/plugins/engines/lib,123,157,1.28,4.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solr/client/ruby/flare/vendor/plugins/engines/lib/engines,188,283,1.68,3.8333333333333335,6,0.7485928705440901,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
