File,Author,NumCommits
,Igor Vaynberg,2.0
wicket-auth-roles/src/test/java/org/apache/wicket/util/markup/xhtml,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket,Igor Vaynberg,3.0
wicket-core/src/main/java/org/apache/wicket/ajax,Igor Vaynberg,1.0
wicket-core/src/main/java/org/apache/wicket/application,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/behavior,Igor Vaynberg,1.0
wicket-core/src/main/java/org/apache/wicket/markup/html/form,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/markup/html/image,Igor Vaynberg,1.0
wicket-core/src/main/java/org/apache/wicket/markup/html/internal,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/markup/html/link,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/markup/html/panel,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/markup/html/tree,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/markup/repeater/data,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/markup/transformer,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/page,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/pageStore,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/protocol/http,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/protocol/http/servlet,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/request/cycle,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/request/handler,Igor Vaynberg,2.0
wicket-core/src/main/java/org/apache/wicket/request/handler/logger,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/request/handler/render,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/request/mapper,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/resource,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/resource/aggregation,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/resource/dependencies,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/settings,Igor Vaynberg,
wicket-core/src/main/java/org/apache/wicket/settings/def,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/ajax,Igor Vaynberg,1.0
wicket-core/src/test/java/org/apache/wicket/markup,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/autolink,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/basic,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/border,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/debug,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/form,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/form/border,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/form/encryption,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/form/feedback,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/form/formComponentPanel,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/form/imagebutton,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/form/login,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/form/upload,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/form/validation,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/form/validation/innerfeedback,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/header,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/header/inheritance,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/header/testing,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/header/testing2,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/header/testing3,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/header/threelayers,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/image,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/internal,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/link,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/link/submitLink,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/list,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/navigation/paging,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/panel,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/tags,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/html/tree,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/outputTransformer,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/parser,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/parser/filter,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/renderStrategy,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/resolver,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/resolver/border,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markup/resolver/issue3559,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/markupFragments,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/model,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/page,Igor Vaynberg,
wicket-core/src/test/java/org/apache/wicket/page/persistent/disk,Igor Vaynberg,
