"Change_file","AuthorName","length","Sum"
"java/build/org/apache/derbyBuild/ChangesFileGenerator.java","Myrna van Lunteren",1,1
"java/build/org/apache/derbyBuild/ClassSizeCrawler.java","Daniel John Debrunner",1,1
"java/build/org/apache/derbyBuild/eclipse/DerbyEclipsePlugin.java","Kristian Waagan",1,1
"java/build/org/apache/derbyBuild/JiraConnector.java","Myrna van Lunteren",1,1
"java/build/org/apache/derbyBuild/MessageBuilder.java","Myrna van Lunteren",1,1
"java/build/org/apache/derbyBuild/ODBCMetadataGenerator.java","Army",1,1
"java/build/org/apache/derbyBuild/ReleaseNoteReader.java","Richard N. Hillegas",1,2
"java/build/org/apache/derbyBuild/ReleaseNotesGenerator.java","Richard N. Hillegas",1,6
"java/client/org/apache/derby/client/am/Blob.java","Dag H. Wanvik",0.142857142857143,7
"java/client/org/apache/derby/client/am/Blob.java","Knut Anders Hatlen",0.428571428571429,7
"java/client/org/apache/derby/client/am/Blob.java","Richard N. Hillegas",0.428571428571429,7
"java/client/org/apache/derby/client/am/BlobLocatorInputStream.java","Knut Anders Hatlen",0.25,8
"java/client/org/apache/derby/client/am/BlobLocatorInputStream.java","Kristian Waagan",0.125,8
"java/client/org/apache/derby/client/am/BlobLocatorInputStream.java","Myrna van Lunteren",0.125,8
"java/client/org/apache/derby/client/am/BlobLocatorInputStream.java","Richard N. Hillegas",0.375,8
"java/client/org/apache/derby/client/am/BlobLocatorInputStream.java","Samuel Andrew McIntyre",0.125,8
"java/client/org/apache/derby/client/am/BlobLocatorOutputStream.java","Knut Anders Hatlen",0.4,5
"java/client/org/apache/derby/client/am/BlobLocatorOutputStream.java","Richard N. Hillegas",0.6,5
"java/client/org/apache/derby/client/am/BlobOutputStream.java","Dag H. Wanvik",1,1
"java/client/org/apache/derby/client/am/CallableLocatorProcedures.java","Knut Anders Hatlen",0.571428571428571,7
"java/client/org/apache/derby/client/am/CallableLocatorProcedures.java","Kristian Waagan",0.285714285714286,7
"java/client/org/apache/derby/client/am/CallableLocatorProcedures.java","Richard N. Hillegas",0.142857142857143,7
"java/client/org/apache/derby/client/am/CallableStatement.java","Kristian Waagan",1,1
"java/client/org/apache/derby/client/am/ClientJDBCObjectFactory.java","Army",1,1
"java/client/org/apache/derby/client/am/Clob.java","Dag H. Wanvik",0.142857142857143,7
"java/client/org/apache/derby/client/am/Clob.java","Knut Anders Hatlen",0.428571428571429,7
"java/client/org/apache/derby/client/am/Clob.java","Kristian Waagan",0.142857142857143,7
"java/client/org/apache/derby/client/am/Clob.java","Richard N. Hillegas",0.285714285714286,7
"java/client/org/apache/derby/client/am/ClobLocatorInputStream.java","Knut Anders Hatlen",0.5,6
"java/client/org/apache/derby/client/am/ClobLocatorInputStream.java","Kristian Waagan",0.166666666666667,6
"java/client/org/apache/derby/client/am/ClobLocatorInputStream.java","Richard N. Hillegas",0.333333333333333,6
"java/client/org/apache/derby/client/am/ClobLocatorOutputStream.java","Knut Anders Hatlen",0.333333333333333,3
"java/client/org/apache/derby/client/am/ClobLocatorOutputStream.java","Richard N. Hillegas",0.666666666666667,3
"java/client/org/apache/derby/client/am/ClobLocatorReader.java","Knut Anders Hatlen",0.5,6
"java/client/org/apache/derby/client/am/ClobLocatorReader.java","Kristian Waagan",0.166666666666667,6
"java/client/org/apache/derby/client/am/ClobLocatorReader.java","Richard N. Hillegas",0.333333333333333,6
"java/client/org/apache/derby/client/am/ClobLocatorWriter.java","Knut Anders Hatlen",0.5,4
"java/client/org/apache/derby/client/am/ClobLocatorWriter.java","Richard N. Hillegas",0.5,4
"java/client/org/apache/derby/client/am/ClobOutputStream.java","Dag H. Wanvik",0.5,2
"java/client/org/apache/derby/client/am/ClobOutputStream.java","Kristian Waagan",0.5,2
"java/client/org/apache/derby/client/am/ClobWriter.java","Dag H. Wanvik",1,1
"java/client/org/apache/derby/client/am/CloseFilterInputStream.java","Kristian Waagan",1,1
"java/client/org/apache/derby/client/am/ColumnMetaData.java","Katherine Marsden",0.5,2
"java/client/org/apache/derby/client/am/ColumnMetaData.java","Myrna van Lunteren",0.5,2
"java/client/org/apache/derby/client/am/Connection.java","Bernt Johnsen",0.272727272727273,11
"java/client/org/apache/derby/client/am/Connection.java","Daniel John Debrunner",0.0909090909090909,11
"java/client/org/apache/derby/client/am/Connection.java","Knut Anders Hatlen",0.363636363636364,11
"java/client/org/apache/derby/client/am/Connection.java","Kristian Waagan",0.0909090909090909,11
"java/client/org/apache/derby/client/am/Connection.java","Myrna van Lunteren",0.0909090909090909,11
"java/client/org/apache/derby/client/am/Connection.java","Richard N. Hillegas",0.0909090909090909,11
"java/client/org/apache/derby/client/am/CrossConverters.java","Knut Anders Hatlen",1,1
"java/client/org/apache/derby/client/am/Cursor.java","Army",0.333333333333333,3
"java/client/org/apache/derby/client/am/Cursor.java","Kristian Waagan",0.333333333333333,3
"java/client/org/apache/derby/client/am/Cursor.java","Richard N. Hillegas",0.333333333333333,3
"java/client/org/apache/derby/client/am/DatabaseMetaData.java","Bernt Johnsen",0.5,2
"java/client/org/apache/derby/client/am/DatabaseMetaData.java","Knut Anders Hatlen",0.5,2
"java/client/org/apache/derby/client/am/DateTime.java","Army",0.666666666666667,3
"java/client/org/apache/derby/client/am/DateTime.java","Katherine Marsden",0.333333333333333,3
"java/client/org/apache/derby/client/am/Diagnosable.java","Knut Anders Hatlen",1,1
"java/client/org/apache/derby/client/am/ExceptionFormatter.java","Knut Anders Hatlen",1,2
"java/client/org/apache/derby/client/am/Lob.java","Dag H. Wanvik",0.285714285714286,7
"java/client/org/apache/derby/client/am/Lob.java","Knut Anders Hatlen",0.285714285714286,7
"java/client/org/apache/derby/client/am/Lob.java","Richard N. Hillegas",0.428571428571429,7
"java/client/org/apache/derby/client/am/PreparedStatement.java","Bryan Pendleton",0.2,5
"java/client/org/apache/derby/client/am/PreparedStatement.java","Daniel John Debrunner",0.2,5
"java/client/org/apache/derby/client/am/PreparedStatement.java","Kristian Waagan",0.6,5
"java/client/org/apache/derby/client/am/ResultSet.java","Daniel John Debrunner",0.333333333333333,3
"java/client/org/apache/derby/client/am/ResultSet.java","Knut Anders Hatlen",0.333333333333333,3
"java/client/org/apache/derby/client/am/ResultSet.java","Kristian Waagan",0.333333333333333,3
"java/client/org/apache/derby/client/am/Sqlca.java","Knut Anders Hatlen",1,1
"java/client/org/apache/derby/client/am/SqlException.java","Knut Anders Hatlen",1,2
"java/client/org/apache/derby/client/am/SQLExceptionFactory40.java","Knut Anders Hatlen",1,1
"java/client/org/apache/derby/client/am/SqlWarning.java","Knut Anders Hatlen",1,1
"java/client/org/apache/derby/client/am/Statement.java","Daniel John Debrunner",0.5,2
"java/client/org/apache/derby/client/am/Statement.java","Kristian Waagan",0.5,2
"java/client/org/apache/derby/client/am/UpdateSensitiveBlobLocatorInputStream.java","Richard N. Hillegas",1,2
"java/client/org/apache/derby/client/am/UpdateSensitiveClobLocatorInputStream.java","Richard N. Hillegas",1,2
"java/client/org/apache/derby/client/am/UpdateSensitiveClobLocatorReader.java","Richard N. Hillegas",1,2
"java/client/org/apache/derby/client/am/UpdateSensitiveLOBLocatorInputStream.java","Richard N. Hillegas",1,2
"java/client/org/apache/derby/client/am/XaException.java","Knut Anders Hatlen",1,1
"java/client/org/apache/derby/client/net/ClientJDBCObjectFactoryImpl.java","Army",1,1
"java/client/org/apache/derby/client/net/ClientJDBCObjectFactoryImpl40.java","Army",1,1
"java/client/org/apache/derby/client/net/CodePoint.java","Knut Anders Hatlen",1,1
"java/client/org/apache/derby/client/net/CodePointNameTable.java","Kristian Waagan",1,1
"java/client/org/apache/derby/client/net/NaiveTrustManager.java","Bernt Johnsen",1,1
"java/client/org/apache/derby/client/net/NetAgent.java","Bernt Johnsen",1,2
"java/client/org/apache/derby/client/net/NetConnection.java","Bernt Johnsen",1,2
"java/client/org/apache/derby/client/net/NetConnection40.java","Richard N. Hillegas",1,1
"java/client/org/apache/derby/client/net/NetConnectionRequest.java","Knut Anders Hatlen",1,1
"java/client/org/apache/derby/client/net/NetCursor.java","Knut Anders Hatlen",0.25,4
"java/client/org/apache/derby/client/net/NetCursor.java","Richard N. Hillegas",0.75,4
"java/client/org/apache/derby/client/net/NetResultSet40.java","Knut Anders Hatlen",1,1
"java/client/org/apache/derby/client/net/NetResultSetRequest.java","Knut Anders Hatlen",0.5,2
"java/client/org/apache/derby/client/net/NetResultSetRequest.java","Kristian Waagan",0.5,2
"java/client/org/apache/derby/client/net/NetStatementRequest.java","Knut Anders Hatlen",0.4,5
"java/client/org/apache/derby/client/net/NetStatementRequest.java","Kristian Waagan",0.2,5
"java/client/org/apache/derby/client/net/NetStatementRequest.java","Richard N. Hillegas",0.4,5
"java/client/org/apache/derby/client/net/NetXACallInfo.java","Knut Anders Hatlen",1,1
"java/client/org/apache/derby/client/net/NetXAConnectionRequest.java","Knut Anders Hatlen",1,1
"java/client/org/apache/derby/client/net/NetXAResource.java","Knut Anders Hatlen",1,2
"java/client/org/apache/derby/client/net/OpenSocketAction.java","Bernt Johnsen",1,2
"java/client/org/apache/derby/jdbc/ClientBaseDataSource.java","Bernt Johnsen",0.4,10
"java/client/org/apache/derby/jdbc/ClientBaseDataSource.java","Katherine Marsden",0.1,10
"java/client/org/apache/derby/jdbc/ClientBaseDataSource.java","Mamta Satoor",0.1,10
"java/client/org/apache/derby/jdbc/ClientBaseDataSource.java","Myrna van Lunteren",0.3,10
"java/client/org/apache/derby/jdbc/ClientBaseDataSource.java","Samuel Andrew McIntyre",0.1,10
"java/client/org/apache/derby/jdbc/ClientDriver.java","Bernt Johnsen",1,1
"java/client/org/apache/derby/jdbc/ClientXADataSource.java","Army",1,1
"java/client/org/apache/derby/jdbc/ClientXADataSource40.java","Army",1,1
"java/demo/scores/java/client/org/apache/derbyDemo/scores/app/Scores.java","Kristian Waagan",1,1
"java/demo/scores/java/client/org/apache/derbyDemo/scores/data/Data.java","Kristian Waagan",1,1
"java/demo/scores/java/client/org/apache/derbyDemo/scores/data/Database.java","Kristian Waagan",1,1
"java/demo/scores/java/common/org/apache/derbyDemo/scores/util/Logger.java","Kristian Waagan",1,1
"java/demo/scores/java/common/org/apache/derbyDemo/scores/util/Utils.java","Kristian Waagan",1,1
"java/demo/scores/java/server/org/apache/derbyDemo/scores/proc/Functions.java","Kristian Waagan",1,1
"java/demo/scores/java/server/org/apache/derbyDemo/scores/proc/Procedures.java","Kristian Waagan",1,1
"java/demo/simple/SimpleApp.java","Kristian Waagan",1,1
"java/demo/toursdb/insertMaps.java","Samuel Andrew McIntyre",1,1
"java/demo/workingwithderby/WwdClientExample.java","Myrna van Lunteren",1,1
"java/demo/workingwithderby/WwdEmbedded.java","Myrna van Lunteren",1,1
"java/drda/org/apache/derby/drda/NetServlet.java","Bryan Pendleton",1,1
"java/drda/org/apache/derby/drda/NetworkServerControl.java","Bernt Johnsen",0.0833333333333333,12
"java/drda/org/apache/derby/drda/NetworkServerControl.java","Richard N. Hillegas",0.833333333333333,12
"java/drda/org/apache/derby/drda/NetworkServerControl.java","Samuel Andrew McIntyre",0.0833333333333333,12
"java/drda/org/apache/derby/impl/drda/ClientThread.java","Bernt Johnsen",1,3
"java/drda/org/apache/derby/impl/drda/Database.java","Richard N. Hillegas",1,1
"java/drda/org/apache/derby/impl/drda/DDMReader.java","Knut Anders Hatlen",1,1
"java/drda/org/apache/derby/impl/drda/DDMWriter.java","Daniel John Debrunner",0.142857142857143,7
"java/drda/org/apache/derby/impl/drda/DDMWriter.java","Katherine Marsden",0.142857142857143,7
"java/drda/org/apache/derby/impl/drda/DDMWriter.java","Knut Anders Hatlen",0.571428571428571,7
"java/drda/org/apache/derby/impl/drda/DDMWriter.java","Richard N. Hillegas",0.142857142857143,7
"java/drda/org/apache/derby/impl/drda/DRDAConnThread.java","Bernt Johnsen",0.0909090909090909,11
"java/drda/org/apache/derby/impl/drda/DRDAConnThread.java","Katherine Marsden",0.272727272727273,11
"java/drda/org/apache/derby/impl/drda/DRDAConnThread.java","Knut Anders Hatlen",0.181818181818182,11
"java/drda/org/apache/derby/impl/drda/DRDAConnThread.java","Kristian Waagan",0.181818181818182,11
"java/drda/org/apache/derby/impl/drda/DRDAConnThread.java","Richard N. Hillegas",0.181818181818182,11
"java/drda/org/apache/derby/impl/drda/DRDAConnThread.java","Samuel Andrew McIntyre",0.0909090909090909,11
"java/drda/org/apache/derby/impl/drda/DRDAProtocolException.java","Bernt Johnsen",0.5,2
"java/drda/org/apache/derby/impl/drda/DRDAProtocolException.java","Kristian Waagan",0.5,2
"java/drda/org/apache/derby/impl/drda/DRDAResultSet.java","Daniel John Debrunner",0.25,4
"java/drda/org/apache/derby/impl/drda/DRDAResultSet.java","Knut Anders Hatlen",0.5,4
"java/drda/org/apache/derby/impl/drda/DRDAResultSet.java","Kristian Waagan",0.25,4
"java/drda/org/apache/derby/impl/drda/DRDAStatement.java","Daniel John Debrunner",0.333333333333333,3
"java/drda/org/apache/derby/impl/drda/DRDAStatement.java","Katherine Marsden",0.333333333333333,3
"java/drda/org/apache/derby/impl/drda/DRDAStatement.java","Samuel Andrew McIntyre",0.333333333333333,3
"java/drda/org/apache/derby/impl/drda/DRDAXAProtocol.java","Knut Anders Hatlen",0.8,5
"java/drda/org/apache/derby/impl/drda/DRDAXAProtocol.java","Kristian Waagan",0.2,5
"java/drda/org/apache/derby/impl/drda/EXTDTAInputStream.java","Katherine Marsden",0.333333333333333,3
"java/drda/org/apache/derby/impl/drda/EXTDTAInputStream.java","Kristian Waagan",0.666666666666667,3
"java/drda/org/apache/derby/impl/drda/NaiveTrustManager.java","Bernt Johnsen",1,1
