"Change_file","AuthorName","length","Sum"
"ant/src/org/apache/hadoop/hive/ant/QTestGenTask.java","Ashutosh Chauhan",1,1
"cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java","Kevin Wilfong",1,1
"common/src/java/org/apache/hadoop/hive/common/CompressionUtils.java","Kevin Wilfong",1,1
"common/src/java/org/apache/hadoop/hive/common/FileUtils.java","Ashutosh Chauhan",0.333333333333333,3
"common/src/java/org/apache/hadoop/hive/common/FileUtils.java","Kevin Wilfong",0.333333333333333,3
"common/src/java/org/apache/hadoop/hive/common/FileUtils.java","Namit Jain",0.333333333333333,3
"common/src/java/org/apache/hadoop/hive/conf/HiveConf.java","Ashutosh Chauhan",0.222222222222222,27
"common/src/java/org/apache/hadoop/hive/conf/HiveConf.java","Carl Steinbach",0.148148148148148,27
"common/src/java/org/apache/hadoop/hive/conf/HiveConf.java","Edward Capriolo",0.037037037037037,27
"common/src/java/org/apache/hadoop/hive/conf/HiveConf.java","Kevin Wilfong",0.37037037037037,27
"common/src/java/org/apache/hadoop/hive/conf/HiveConf.java","Namit Jain",0.148148148148148,27
"common/src/java/org/apache/hadoop/hive/conf/HiveConf.java","Yongqiang He",0.0740740740740741,27
"common/src/test/org/apache/hadoop/hive/conf/TestHiveConf.java","Ashutosh Chauhan",1,2
"contrib/src/java/org/apache/hadoop/hive/contrib/genericudf/example/GenericUDFDBOutput.java","Ashutosh Chauhan",1,1
"contrib/src/java/org/apache/hadoop/hive/contrib/serde2/RegexSerDe.java","Ashutosh Chauhan",1,1
"contrib/src/java/org/apache/hadoop/hive/contrib/serde2/TypedBytesSerDe.java","Ashutosh Chauhan",1,1
"contrib/src/java/org/apache/hadoop/hive/contrib/util/typedbytes/TypedBytesRecordReader.java","Ashutosh Chauhan",1,1
"contrib/src/test/org/apache/hadoop/hive/contrib/mr/TestGenericMR.java","Ashutosh Chauhan",1,1
"contrib/src/test/org/apache/hadoop/hive/contrib/serde2/TestRegexSerDe.java","Ashutosh Chauhan",1,1
"hbase-handler/src/java/org/apache/hadoop/hive/hbase/HBaseSerDe.java","Ashutosh Chauhan",1,2
"hbase-handler/src/java/org/apache/hadoop/hive/hbase/HBaseStatsPublisher.java","Kevin Wilfong",1,1
"hbase-handler/src/java/org/apache/hadoop/hive/hbase/HBaseStorageHandler.java","Ashutosh Chauhan",1,1
"hbase-handler/src/java/org/apache/hadoop/hive/hbase/HiveHBaseTableInputFormat.java","Ashutosh Chauhan",1,1
"hbase-handler/src/test/org/apache/hadoop/hive/hbase/TestHBaseSerDe.java","Ashutosh Chauhan",1,1
"jdbc/src/java/org/apache/hadoop/hive/jdbc/HiveBaseResultSet.java","Carl Steinbach",1,1
"jdbc/src/java/org/apache/hadoop/hive/jdbc/HivePreparedStatement.java","Carl Steinbach",1,1
"jdbc/src/java/org/apache/hadoop/hive/jdbc/HiveQueryResultSet.java","Ashutosh Chauhan",1,1
"jdbc/src/java/org/apache/hadoop/hive/jdbc/HiveResultSetMetaData.java","Ashutosh Chauhan",0.5,2
"jdbc/src/java/org/apache/hadoop/hive/jdbc/HiveResultSetMetaData.java","Carl Steinbach",0.5,2
"jdbc/src/java/org/apache/hadoop/hive/jdbc/JdbcColumn.java","Carl Steinbach",1,1
"jdbc/src/java/org/apache/hadoop/hive/jdbc/Utils.java","Carl Steinbach",1,1
"jdbc/src/test/org/apache/hadoop/hive/jdbc/TestJdbcDriver.java","Carl Steinbach",1,1
"metastore/src/gen/thrift/gen-cpp/hive_metastore_constants.cpp","Ashutosh Chauhan",1,1
"metastore/src/gen/thrift/gen-cpp/hive_metastore_constants.h","Ashutosh Chauhan",1,1
"metastore/src/gen/thrift/gen-cpp/hive_metastore_types.cpp","Ashutosh Chauhan",0.25,4
"metastore/src/gen/thrift/gen-cpp/hive_metastore_types.cpp","Carl Steinbach",0.25,4
"metastore/src/gen/thrift/gen-cpp/hive_metastore_types.cpp","Namit Jain",0.5,4
"metastore/src/gen/thrift/gen-cpp/hive_metastore_types.h","Ashutosh Chauhan",0.25,4
"metastore/src/gen/thrift/gen-cpp/hive_metastore_types.h","Carl Steinbach",0.25,4
"metastore/src/gen/thrift/gen-cpp/hive_metastore_types.h","Namit Jain",0.5,4
"metastore/src/gen/thrift/gen-cpp/ThriftHiveMetastore_server.skeleton.cpp","Ashutosh Chauhan",0.333333333333333,3
"metastore/src/gen/thrift/gen-cpp/ThriftHiveMetastore_server.skeleton.cpp","Carl Steinbach",0.333333333333333,3
"metastore/src/gen/thrift/gen-cpp/ThriftHiveMetastore_server.skeleton.cpp","Namit Jain",0.333333333333333,3
"metastore/src/gen/thrift/gen-cpp/ThriftHiveMetastore.cpp","Ashutosh Chauhan",0.25,4
"metastore/src/gen/thrift/gen-cpp/ThriftHiveMetastore.cpp","Carl Steinbach",0.25,4
"metastore/src/gen/thrift/gen-cpp/ThriftHiveMetastore.cpp","Namit Jain",0.5,4
