"Change_file","AuthorName","length","Sum"
"bench/bench_enumerator_next.rb","Charles Oliver Nutter",1,3
"bench/bench_hash_each.rb","Thomas E. Enebo",1,4
"bench/bench_io_foreach.rb","Charles Oliver Nutter",1,1
"bench/bench_io_sysread.rb","Charles Oliver Nutter",1,2
"bench/bench_marshal.rb","Charles Oliver Nutter",1,2
"bench/bench_object_extend.rb","Charles Oliver Nutter",1,2
"bench/bench_object_id.rb","Charles Oliver Nutter",1,2
"bench/bench_object_new.rb","Charles Oliver Nutter",1,2
"bench/bench_stringscanner.rb","Charles Oliver Nutter",1,2
"bench/bench_xml_builder.rb","Charles Oliver Nutter",1,2
"bench/bench_yaml.rb","Ola Bini",1,4
"bench/ffi/bench_gettimeofday.rb","Wayne Meissner",1,2
"bench/ffi/bench_memchr.rb","Wayne Meissner",1,2
"bench/java/bench_java_array.rb","Charles Oliver Nutter",1,4
"bench/java/bench_java_invocation.rb","Charles Oliver Nutter",1,4
"bench/java/bench_java_objects.rb","Charles Oliver Nutter",1,2
"bench/language/bench_all.rb","Ola Bini",1,2
"bench/language/bench_attr_read.rb","Thomas E. Enebo",1,4
"bench/language/bench_class_definition.rb","Ola Bini",1,2
"bench/language/bench_lambda.rb","Charles Oliver Nutter",1,2
"bench/language/bench_method_return.rb","Ola Bini",1,2
"bench/language/bench_yield.rb","Thomas E. Enebo",1,2
"gem/lib/jruby-jars.rb","Charles Oliver Nutter",1,3
"gem/lib/jruby-jars/version.rb","Charles Oliver Nutter",1,3
"lib/ruby/1.8/benchmark.rb","Ola Bini",1,2
"lib/ruby/1.8/cgi.rb","Ola Bini",1,2
"lib/ruby/1.8/cgi/session.rb","Ola Bini",1,2
"lib/ruby/1.8/cgi/session/pstore.rb","Ola Bini",1,2
"lib/ruby/1.8/complex.rb","Ola Bini",1,2
"lib/ruby/1.8/date.rb","Ola Bini",1,2
"lib/ruby/1.8/date/format.rb","Ola Bini",1,2
"lib/ruby/1.8/delegate.rb","Ola Bini",1,2
"lib/ruby/1.8/dl.rb","Wayne Meissner",1,4
"lib/ruby/1.8/drb/drb.rb","Charles Oliver Nutter",0.333333333333333,3
"lib/ruby/1.8/drb/drb.rb","Ola Bini",0.666666666666667,3
"lib/ruby/1.8/drb/extservm.rb","Ola Bini",1,2
"lib/ruby/1.8/erb.rb","Ola Bini",1,2
"lib/ruby/1.8/finalize.rb","Ola Bini",1,2
"lib/ruby/1.8/forwardable.rb","Ola Bini",1,2
"lib/ruby/1.8/ipaddr.rb","Ola Bini",1,2
"lib/ruby/1.8/logger.rb","Ola Bini",1,2
"lib/ruby/1.8/matrix.rb","Ola Bini",1,2
"lib/ruby/1.8/mkmf.rb","Charles Oliver Nutter",0.666666666666667,6
"lib/ruby/1.8/mkmf.rb","Ola Bini",0.333333333333333,6
"lib/ruby/1.8/monitor.rb","Ola Bini",1,2
"lib/ruby/1.8/mutex_m.rb","Ola Bini",1,2
"lib/ruby/1.8/net/ftp.rb","Ola Bini",1,2
"lib/ruby/1.8/net/http.rb","Ola Bini",1,2
"lib/ruby/1.8/net/https.rb","Ola Bini",1,2
"lib/ruby/1.8/net/imap.rb","Ola Bini",1,2
"lib/ruby/1.8/net/pop.rb","Ola Bini",1,2
"lib/ruby/1.8/net/protocol.rb","Ola Bini",1,2
"lib/ruby/1.8/net/smtp.rb","Ola Bini",1,2
"lib/ruby/1.8/net/telnet.rb","Ola Bini",1,2
"lib/ruby/1.8/open-uri.rb","Ola Bini",1,2
"lib/ruby/1.8/optparse.rb","Ola Bini",1,2
"lib/ruby/1.8/ostruct.rb","Ola Bini",1,2
"lib/ruby/1.8/pathname.rb","Nick Sieger",0.5,4
"lib/ruby/1.8/pathname.rb","Ola Bini",0.5,4
"lib/ruby/1.8/pp.rb","Ola Bini",1,2
"lib/ruby/1.8/pstore.rb","Ola Bini",1,2
"lib/ruby/1.8/rational.rb","Ola Bini",1,2
"lib/ruby/1.8/rdoc/options.rb","Ola Bini",1,2
"lib/ruby/1.8/rdoc/parsers/parse_c.rb","Ola Bini",1,2
"lib/ruby/1.8/rdoc/parsers/parse_f95.rb","Ola Bini",1,2
"lib/ruby/1.8/rdoc/parsers/parse_rb.rb","Ola Bini",1,2
"lib/ruby/1.8/rdoc/ri/ri_options.rb","Ola Bini",1,2
"lib/ruby/1.8/rdoc/ri/ri_paths.rb","Ola Bini",1,2
"lib/ruby/1.8/resolv.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/attlistdecl.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/attribute.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/document.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/element.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/encoding.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/encodings/SHIFT-JIS.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/entity.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/formatters/pretty.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/functions.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/node.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/parsers/baseparser.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/parsers/treeparser.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/rexml.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/source.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/text.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/undefinednamespaceexception.rb","Ola Bini",1,2
"lib/ruby/1.8/rexml/xpath.rb","Ola Bini",1,2
"lib/ruby/1.8/rinda/ring.rb","Ola Bini",1,2
"lib/ruby/1.8/rinda/tuplespace.rb","Ola Bini",1,2
"lib/ruby/1.8/rss.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/0.9.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/1.0.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/2.0.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/atom.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/content.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/content/1.0.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/content/2.0.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/converter.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/dublincore.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/dublincore/1.0.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/dublincore/2.0.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/dublincore/atom.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/image.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/itunes.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker/0.9.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker/1.0.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker/2.0.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker/atom.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker/base.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker/content.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker/dublincore.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker/entry.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker/feed.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker/image.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker/itunes.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker/slash.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker/syndication.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker/taxonomy.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/maker/trackback.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/parser.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/rss.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/slash.rb","Ola Bini",1,2
"lib/ruby/1.8/rss/syndication.rb","Ola Bini",1,2
