"Change_file","AuthorName","length","Sum"
"lucene/contrib/ant/src/java/org/apache/lucene/ant/IndexTask.java","Michael McCandless",1,2
"lucene/contrib/ant/src/test/org/apache/lucene/ant/IndexTaskTest.java","Michael McCandless",0.5,2
"lucene/contrib/ant/src/test/org/apache/lucene/ant/IndexTaskTest.java","Shai Erera",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/Benchmark.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/AbstractQueryMaker.java","Robert Muir",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/AbstractQueryMaker.java","Shai Erera",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/ContentSource.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DemoHTMLParser.java","Robert Muir",0.666666666666667,3
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DemoHTMLParser.java","Shai Erera",0.333333333333333,3
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DirContentSource.java","Robert Muir",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DirContentSource.java","Shai Erera",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DocData.java","Michael McCandless",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DocData.java","Robert Muir",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DocMaker.java","Michael McCandless",0.166666666666667,6
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DocMaker.java","Robert Muir",0.166666666666667,6
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DocMaker.java","Shai Erera",0.166666666666667,6
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DocMaker.java","Simon Willnauer",0.5,6
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/EnwikiContentSource.java","Grant Ingersoll",0.333333333333333,3
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/EnwikiContentSource.java","Robert Muir",0.333333333333333,3
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/EnwikiContentSource.java","Shai Erera",0.333333333333333,3
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/EnwikiQueryMaker.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/FileBasedQueryMaker.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/HTMLParser.java","Robert Muir",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/HTMLParser.java","Shai Erera",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/LineDocSource.java","Michael McCandless",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/LineDocSource.java","Robert Muir",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/LongToEnglishContentSource.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/LongToEnglishQueryMaker.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/NoMoreDataException.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/QueryMaker.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/ReutersContentSource.java","Robert Muir",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/ReutersContentSource.java","Shai Erera",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/ReutersQueryMaker.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/SimpleQueryMaker.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/SimpleSloppyPhraseQueryMaker.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/SingleDocSource.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/SortableSingleDocSource.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/TrecContentSource.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/PerfRunData.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/programmatic/Sample.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/stats/Points.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/stats/Report.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/stats/TaskStats.java","Robert Muir",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/stats/TaskStats.java","Shai Erera",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/AddDocTask.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/BenchmarkHighlighter.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/ClearStatsTask.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/CloseIndexTask.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/CloseReaderTask.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/CommitIndexTask.java","Michael McCandless",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/CommitIndexTask.java","Robert Muir",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/ConsumeContentSourceTask.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/CreateIndexTask.java","Robert Muir",0.5,6
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/CreateIndexTask.java","Simon Willnauer",0.5,6
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/DeleteByPercentTask.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/DeleteDocTask.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/FlushReaderTask.java","Robert Muir",1,1
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/NearRealtimeReaderTask.java","Grant Ingersoll",0.5,2
"lucene/contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/NearRealtimeReaderTask.java","Robert Muir",0.5,2
