"File","Author","NumCommits"
"","Arun Murthy",1
"bin","Arun Murthy",NA
"common","Arun Murthy",49
"common/bin","Arun Murthy",NA
"common/conf","Arun Murthy",NA
"common/ivy","Arun Murthy",NA
"common/src","Arun Murthy",NA
"common/src/docs/cn","Arun Murthy",NA
"common/src/docs/cn/changes","Arun Murthy",NA
"common/src/docs/cn/src/documentation","Arun Murthy",NA
"common/src/docs/cn/src/documentation/classes","Arun Murthy",NA
"common/src/docs/cn/src/documentation/conf","Arun Murthy",NA
"common/src/docs/cn/src/documentation/content/xdocs","Arun Murthy",NA
"common/src/docs/cn/src/documentation/resources/images","Arun Murthy",NA
"common/src/docs/cn/src/documentation/skins/common","Arun Murthy",NA
"common/src/docs/cn/src/documentation/skins/common/css","Arun Murthy",NA
"common/src/docs/cn/src/documentation/skins/common/images","Arun Murthy",NA
"common/src/docs/cn/src/documentation/skins/common/scripts","Arun Murthy",NA
"common/src/docs/cn/src/documentation/skins/common/translations","Arun Murthy",NA
"common/src/docs/cn/src/documentation/skins/common/xslt/fo","Arun Murthy",NA
"common/src/docs/cn/src/documentation/skins/common/xslt/html","Arun Murthy",NA
"common/src/docs/cn/src/documentation/skins/common/xslt/svg","Arun Murthy",NA
"common/src/docs/cn/src/documentation/skins/pelt","Arun Murthy",NA
"common/src/docs/cn/src/documentation/skins/pelt/css","Arun Murthy",NA
"common/src/docs/cn/src/documentation/skins/pelt/images","Arun Murthy",NA
"common/src/docs/cn/src/documentation/skins/pelt/xslt/fo","Arun Murthy",NA
"common/src/docs/cn/src/documentation/skins/pelt/xslt/html","Arun Murthy",NA
"common/src/docs/src/documentation/content/xdocs","Arun Murthy",NA
"common/src/java","Arun Murthy",NA
"common/src/java/org/apache/hadoop/conf","Arun Murthy",NA
"common/src/java/org/apache/hadoop/fs","Arun Murthy",NA
"common/src/java/org/apache/hadoop/fs/s3","Arun Murthy",NA
"common/src/java/org/apache/hadoop/fs/shell","Arun Murthy",NA
"common/src/java/org/apache/hadoop/http","Arun Murthy",NA
"common/src/java/org/apache/hadoop/io","Arun Murthy",NA
"common/src/java/org/apache/hadoop/io/compress","Arun Murthy",NA
"common/src/java/org/apache/hadoop/io/compress/bzip2","Arun Murthy",NA
"common/src/java/org/apache/hadoop/io/compress/snappy","Arun Murthy",NA
"common/src/java/org/apache/hadoop/io/retry","Arun Murthy",NA
"common/src/java/org/apache/hadoop/io/serializer","Arun Murthy",NA
"common/src/java/org/apache/hadoop/ipc","Arun Murthy",NA
"common/src/java/org/apache/hadoop/jmx","Arun Murthy",NA
"common/src/java/org/apache/hadoop/log","Arun Murthy",NA
"common/src/java/org/apache/hadoop/metrics/util","Arun Murthy",NA
"common/src/java/org/apache/hadoop/metrics2/util","Arun Murthy",NA
"common/src/java/org/apache/hadoop/net","Arun Murthy",NA
"common/src/java/org/apache/hadoop/security","Arun Murthy",NA
"common/src/java/org/apache/hadoop/security/authorize","Arun Murthy",NA
"common/src/java/org/apache/hadoop/security/token/delegation","Arun Murthy",NA
"common/src/java/org/apache/hadoop/util","Arun Murthy",NA
"common/src/native","Arun Murthy",NA
"common/src/packages/templates/conf","Arun Murthy",NA
"common/src/test/bin","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/cli","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/conf","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/fs","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/http","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/io","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/io/compress","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/io/file/tfile","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/io/retry","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/ipc","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/jmx","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/metrics2/impl","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/metrics2/util","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/net","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/security","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/security/token/delegation","Arun Murthy",NA
"common/src/test/core/org/apache/hadoop/util","Arun Murthy",NA
"conf","Arun Murthy",NA
"dev-support","Arun Murthy",1
"hadoop-alfredo","Arun Murthy",NA
