"File","Author","NumCommits"
"","Ashutosh Chauhan",24
"bin","Ashutosh Chauhan",1
"bin/ext","Ashutosh Chauhan",1
"cli","Ashutosh Chauhan",NA
"cli/src/java/org/apache/hadoop/hive/cli","Ashutosh Chauhan",1
"common","Ashutosh Chauhan",NA
"common/src/java/conf","Ashutosh Chauhan",1
"common/src/java/org/apache/hadoop/hive/common","Ashutosh Chauhan",NA
"common/src/java/org/apache/hadoop/hive/common/cli","Ashutosh Chauhan",1
"common/src/java/org/apache/hadoop/hive/common/io","Ashutosh Chauhan",NA
"common/src/java/org/apache/hadoop/hive/common/metrics","Ashutosh Chauhan",2
"common/src/java/org/apache/hadoop/hive/conf","Ashutosh Chauhan",9
"common/src/test/org/apache/hadoop/hive/conf","Ashutosh Chauhan",NA
"common/src/test/resources","Ashutosh Chauhan",NA
"contrib/src/test/results/clientnegative","Ashutosh Chauhan",1
"contrib/src/test/results/clientpositive","Ashutosh Chauhan",1
"data/conf","Ashutosh Chauhan",1
"data/scripts","Ashutosh Chauhan",1
"data/warehouse/src","Ashutosh Chauhan",1
"docs","Ashutosh Chauhan",1
"eclipse-templates","Ashutosh Chauhan",3
"eclipse-templates/.externalToolBuilders","Ashutosh Chauhan",1
"eclipse-templates/.settings","Ashutosh Chauhan",1
"hbase-handler","Ashutosh Chauhan",1
"hbase-handler/src/java/org/apache/hadoop/hive/hbase","Ashutosh Chauhan",5
"hbase-handler/src/test/org/apache/hadoop/hive/hbase","Ashutosh Chauhan",3
"hbase-handler/src/test/queries","Ashutosh Chauhan",3
"hbase-handler/src/test/results","Ashutosh Chauhan",3
"hbase-handler/src/test/templates","Ashutosh Chauhan",1
"hwi/src/java/org/apache/hadoop/hive/hwi","Ashutosh Chauhan",1
"hwi/web","Ashutosh Chauhan",2
"hwi/web/img","Ashutosh Chauhan",1
"ivy","Ashutosh Chauhan",3
"jdbc/src/java/org/apache/hadoop/hive/jdbc","Ashutosh Chauhan",2
"jdbc/src/test/org/apache/hadoop/hive/jdbc","Ashutosh Chauhan",NA
"lib","Ashutosh Chauhan",1
"metastore/if","Ashutosh Chauhan",3
"metastore/scripts","Ashutosh Chauhan",1
"metastore/scripts/upgrade","Ashutosh Chauhan",2
"metastore/scripts/upgrade/derby","Ashutosh Chauhan",NA
"metastore/scripts/upgrade/mysql","Ashutosh Chauhan",NA
"metastore/src/gen-py","Ashutosh Chauhan",1
"metastore/src/gen/thrift/gen-cpp","Ashutosh Chauhan",2
"metastore/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api","Ashutosh Chauhan",2
"metastore/src/gen/thrift/gen-php","Ashutosh Chauhan",1
"metastore/src/gen/thrift/gen-php/hive_metastore","Ashutosh Chauhan",2
"metastore/src/gen/thrift/gen-py","Ashutosh Chauhan",1
"metastore/src/gen/thrift/gen-py/hive_metastore","Ashutosh Chauhan",2
"metastore/src/gen/thrift/gen-rb","Ashutosh Chauhan",2
"metastore/src/java/org/apache/hadoop/hive/metastore","Ashutosh Chauhan",13
"metastore/src/java/org/apache/hadoop/hive/metastore/events","Ashutosh Chauhan",1
"metastore/src/java/org/apache/hadoop/hive/metastore/hooks","Ashutosh Chauhan",1
"metastore/src/java/org/apache/hadoop/hive/metastore/parser","Ashutosh Chauhan",1
"metastore/src/model","Ashutosh Chauhan",2
"metastore/src/model/org/apache/hadoop/hive/metastore/model","Ashutosh Chauhan",2
"metastore/src/test/org/apache/hadoop/hive/metastore","Ashutosh Chauhan",5
"ql","Ashutosh Chauhan",1
"ql/if","Ashutosh Chauhan",1
"ql/src/gen/thrift/gen-py","Ashutosh Chauhan",1
"ql/src/java/conf","Ashutosh Chauhan",1
"ql/src/java/org/apache/hadoop/hive/ql","Ashutosh Chauhan",2
"ql/src/java/org/apache/hadoop/hive/ql/exec","Ashutosh Chauhan",8
"ql/src/java/org/apache/hadoop/hive/ql/exec/errors","Ashutosh Chauhan",NA
"ql/src/java/org/apache/hadoop/hive/ql/exec/persistence","Ashutosh Chauhan",1
"ql/src/java/org/apache/hadoop/hive/ql/history","Ashutosh Chauhan",1
"ql/src/java/org/apache/hadoop/hive/ql/hooks","Ashutosh Chauhan",1
"ql/src/java/org/apache/hadoop/hive/ql/index","Ashutosh Chauhan",2
"ql/src/java/org/apache/hadoop/hive/ql/index/compact","Ashutosh Chauhan",NA
"ql/src/java/org/apache/hadoop/hive/ql/io","Ashutosh Chauhan",6
"ql/src/java/org/apache/hadoop/hive/ql/io/rcfile/merge","Ashutosh Chauhan",1
"ql/src/java/org/apache/hadoop/hive/ql/log","Ashutosh Chauhan",NA
"ql/src/java/org/apache/hadoop/hive/ql/metadata","Ashutosh Chauhan",3
"ql/src/java/org/apache/hadoop/hive/ql/metadata/formatting","Ashutosh Chauhan",2
"ql/src/java/org/apache/hadoop/hive/ql/optimizer","Ashutosh Chauhan",1
"ql/src/java/org/apache/hadoop/hive/ql/optimizer/index","Ashutosh Chauhan",1
"ql/src/java/org/apache/hadoop/hive/ql/optimizer/lineage","Ashutosh Chauhan",1
"ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical","Ashutosh Chauhan",2
"ql/src/java/org/apache/hadoop/hive/ql/optimizer/unionproc","Ashutosh Chauhan",NA
"ql/src/java/org/apache/hadoop/hive/ql/parse","Ashutosh Chauhan",6
"ql/src/java/org/apache/hadoop/hive/ql/plan","Ashutosh Chauhan",5
"ql/src/java/org/apache/hadoop/hive/ql/ppd","Ashutosh Chauhan",2
"ql/src/java/org/apache/hadoop/hive/ql/processors","Ashutosh Chauhan",NA
"ql/src/java/org/apache/hadoop/hive/ql/security/authorization","Ashutosh Chauhan",1
"ql/src/java/org/apache/hadoop/hive/ql/session","Ashutosh Chauhan",NA
"ql/src/java/org/apache/hadoop/hive/ql/stats/jdbc","Ashutosh Chauhan",2
"ql/src/java/org/apache/hadoop/hive/ql/udf","Ashutosh Chauhan",3
"ql/src/java/org/apache/hadoop/hive/ql/udf/generic","Ashutosh Chauhan",1
"ql/src/test/org/apache/hadoop/hive/ql","Ashutosh Chauhan",3
"ql/src/test/org/apache/hadoop/hive/ql/exec","Ashutosh Chauhan",2
"ql/src/test/org/apache/hadoop/hive/ql/history","Ashutosh Chauhan",NA
"ql/src/test/org/apache/hadoop/hive/ql/hooks","Ashutosh Chauhan",NA
"ql/src/test/org/apache/hadoop/hive/ql/io","Ashutosh Chauhan",2
