"X","Author","Filename","NumLines"
0,"Martin Kempf","src/test/org/codehaus/groovy/ast/LineColumnChecker.java",74
1,"Paul King","src/test/org/codehaus/groovy/ast/LineColumnChecker.java",364
2,"Martin Kempf","src/test/org/codehaus/groovy/ast/ASTTest.java",15
3,"Paul King","src/test/org/codehaus/groovy/ast/ASTTest.java",12
4,"Martin Kempf","src/test/org/codehaus/groovy/ast/VariableExpressionTest.java",47
5,"Paul King","src/test/org/codehaus/groovy/ast/VariableExpressionTest.java",22
6,"Martin Kempf","src/test/org/codehaus/groovy/ast/MethodCallExpressionTest.java",21
7,"Paul King","src/test/org/codehaus/groovy/ast/MethodCallExpressionTest.java",52
8,"James Strachan","src/test/org/codehaus/groovy/ast/ModuleNodeTest.java",19
9,"Paul King","src/test/org/codehaus/groovy/ast/ModuleNodeTest.java",24
10,"Jochen Theodorou","src/test/org/codehaus/groovy/ast/ModuleNodeTest.java",1
11,"James Strachan","src/test/org/codehaus/groovy/ast/ClassNodeTest.java",30
12,"Paul King","src/test/org/codehaus/groovy/ast/ClassNodeTest.java",17
13,"Russel Winder","src/test/org/codehaus/groovy/ast/ClassNodeTest.java",1
14,"Jochen Theodorou","src/test/org/codehaus/groovy/ast/ClassNodeTest.java",4
15,"Paul King","src/test/org/codehaus/groovy/ast/LineColumnCheckTestSuite.java",56
16,"Martin Kempf","src/test/org/codehaus/groovy/ast/LineColumnCheckTestSuite.java",39
17,"James Strachan","src/test/org/codehaus/groovy/runtime/NewStaticMetaMethodTest.java",42
18,"Paul King","src/test/org/codehaus/groovy/runtime/NewStaticMetaMethodTest.java",20
19,"Alex Tkachman","src/test/org/codehaus/groovy/runtime/NewStaticMetaMethodTest.java",4
20,"John Wilson","src/test/org/codehaus/groovy/runtime/NewStaticMetaMethodTest.java",1
21,"Guillaume Laforge","src/test/org/codehaus/groovy/runtime/NewStaticMetaMethodTest.java",3
22,"James Strachan","src/test/org/codehaus/groovy/runtime/InvokeGroovyMethodTest.java",59
23,"Paul King","src/test/org/codehaus/groovy/runtime/InvokeGroovyMethodTest.java",20
24,"Alex Tkachman","src/test/org/codehaus/groovy/runtime/InvokeGroovyMethodTest.java",1
25,"James Strachan","src/test/org/codehaus/groovy/runtime/DummyBean.java",83
26,"Paul King","src/test/org/codehaus/groovy/runtime/DummyBean.java",19
27,"Danno Ferrin","src/test/org/codehaus/groovy/runtime/DummyBean.java",4
28,"James Strachan","src/test/org/codehaus/groovy/runtime/PropertyTest.java",151
29,"Paul King","src/test/org/codehaus/groovy/runtime/PropertyTest.java",77
30,"Cedric Champeau","src/test/org/codehaus/groovy/runtime/m12n/TestStaticStringExtension.java",22
31,"Cedric Champeau","src/test/org/codehaus/groovy/runtime/m12n/TestStringExtension.java",23
32,"Paul King","src/test/org/codehaus/groovy/runtime/JdkDynamicProxyInvocationHandler.java",23
33,"Alex Tkachman","src/test/org/codehaus/groovy/runtime/JdkDynamicProxyInvocationHandler.java",18
34,"James Strachan","src/test/org/codehaus/groovy/runtime/MethodKeyTest.java",39
35,"Paul King","src/test/org/codehaus/groovy/runtime/MethodKeyTest.java",22
36,"John Wilson","src/test/org/codehaus/groovy/runtime/MethodKeyTest.java",2
37,"Paul King","src/test/org/codehaus/groovy/runtime/JdkDynamicProxyServiceBean.java",17
38,"Alex Tkachman","src/test/org/codehaus/groovy/runtime/JdkDynamicProxyServiceBean.java",5
39,"James Strachan","src/test/org/codehaus/groovy/runtime/DefaultGroovyMethodsTest.java",33
40,"Paul King","src/test/org/codehaus/groovy/runtime/DefaultGroovyMethodsTest.java",168
41,"Dierk Koenig","src/test/org/codehaus/groovy/runtime/DefaultGroovyMethodsTest.java",22
42,"John Wilson","src/test/org/codehaus/groovy/runtime/DefaultGroovyMethodsTest.java",12
43,"Jochen Theodorou","src/test/org/codehaus/groovy/runtime/DefaultGroovyMethodsTest.java",1
44,"Jim White","src/test/org/codehaus/groovy/runtime/DefaultGroovyMethodsTest.java",2
45,"Guillaume Laforge","src/test/org/codehaus/groovy/runtime/DefaultGroovyMethodsTest.java",3
46,"Peter Niederwieser","src/test/org/codehaus/groovy/runtime/DefaultGroovyMethodsTest.java",1
47,"Hamlet D'Arcy","src/test/org/codehaus/groovy/runtime/DefaultGroovyMethodsTest.java",16
48,"James Strachan","src/test/org/codehaus/groovy/runtime/MockGroovyObject.java",22
49,"Paul King","src/test/org/codehaus/groovy/runtime/MockGroovyObject.java",15
50,"James Strachan","src/test/org/codehaus/groovy/runtime/InvokeConstructorTest.java",46
51,"Paul King","src/test/org/codehaus/groovy/runtime/InvokeConstructorTest.java",18
52,"Jochen Theodorou","src/test/org/codehaus/groovy/runtime/InvokeConstructorTest.java",2
53,"Alex Tkachman","src/test/org/codehaus/groovy/runtime/InvokeConstructorTest.java",1
54,"Graeme Rocher","src/test/org/codehaus/groovy/runtime/MetaClassHelperTest.java",10
55,"Jochen Theodorou","src/test/org/codehaus/groovy/runtime/MethodRankHelperTest.java",151
56,"James Strachan","src/test/org/codehaus/groovy/runtime/MethodFailureTest.java",59
57,"Paul King","src/test/org/codehaus/groovy/runtime/MethodFailureTest.java",14
58,"Paul King","src/test/org/codehaus/groovy/runtime/InvokerHelperTest.java",36
59,"Alex Tkachman","src/test/org/codehaus/groovy/runtime/StaticInitTest.java",31
60,"James Strachan","src/test/org/codehaus/groovy/runtime/TupleListTest.java",41
61,"Paul King","src/test/org/codehaus/groovy/runtime/TupleListTest.java",21
62,"Paul King","src/test/org/codehaus/groovy/runtime/JdkDynamicProxyTest.java",27
63,"Alex Tkachman","src/test/org/codehaus/groovy/runtime/JdkDynamicProxyTest.java",19
64,"James Strachan","src/test/org/codehaus/groovy/runtime/InvokerTest.java",92
65,"Paul King","src/test/org/codehaus/groovy/runtime/InvokerTest.java",31
66,"Dierk Koenig","src/test/org/codehaus/groovy/runtime/InvokerTest.java",13
67,"Jochen Theodorou","src/test/org/codehaus/groovy/runtime/InvokerTest.java",12
68,"Guillaume Laforge","src/test/org/codehaus/groovy/runtime/InvokerTest.java",3
69,"Sam Pullara","src/test/org/codehaus/groovy/runtime/InvokerTest.java",1
70,"James Strachan","src/test/org/codehaus/groovy/runtime/InvokeMethodTest.java",356
71,"Paul King","src/test/org/codehaus/groovy/runtime/InvokeMethodTest.java",50
72,"Dierk Koenig","src/test/org/codehaus/groovy/runtime/InvokeMethodTest.java",6
73,"Steve Goetze","src/test/org/codehaus/groovy/runtime/InvokeMethodTest.java",8
74,"Jochen Theodorou","src/test/org/codehaus/groovy/runtime/InvokeMethodTest.java",6
75,"Sam Pullara","src/test/org/codehaus/groovy/runtime/InvokeMethodTest.java",2
76,"Alex Tkachman","src/test/org/codehaus/groovy/runtime/InvokeMethodTest.java",1
77,"James Strachan","src/test/org/codehaus/groovy/runtime/InheritedInterfaceMethodTest.java",15
78,"Paul King","src/test/org/codehaus/groovy/runtime/InheritedInterfaceMethodTest.java",19
79,"Jeremy Rayner","src/test/org/codehaus/groovy/antlr/GroovySourceASTTest.java",28
80,"Paul King","src/test/org/codehaus/groovy/antlr/GroovySourceASTTest.java",3
81,"Alexandru Popescu","src/test/org/codehaus/groovy/antlr/EnumSourceParsingTest.java",72
82,"Paul King","src/test/org/codehaus/groovy/antlr/EnumSourceParsingTest.java",39
83,"Jeremy Rayner","src/test/org/codehaus/groovy/antlr/treewalker/LineColumnChecker.java",58
84,"Paul King","src/test/org/codehaus/groovy/antlr/treewalker/TraversalTestHelper.java",50
85,"Jeremy Rayner","src/test/org/codehaus/groovy/antlr/treewalker/TraversalTestHelper.java",2
86,"Paul King","src/test/org/codehaus/groovy/antlr/treewalker/MindMapPrinterTest.java",72
87,"Jochen Theodorou","src/test/org/codehaus/groovy/antlr/treewalker/MindMapPrinterTest.java",3
88,"Jeremy Rayner","src/test/org/codehaus/groovy/antlr/treewalker/Java2GroovyTest.java",30
89,"Paul King","src/test/org/codehaus/groovy/antlr/treewalker/Java2GroovyTest.java",16
90,"Paul King","src/test/org/codehaus/groovy/antlr/treewalker/NodeAsHTMLPrinterTest.java",73
91,"Jeremy Rayner","src/test/org/codehaus/groovy/antlr/treewalker/SourcePrinterTest.java",571
92,"Christian Stein","src/test/org/codehaus/groovy/antlr/treewalker/SourcePrinterTest.java",1
93,"Paul King","src/test/org/codehaus/groovy/antlr/treewalker/SourcePrinterTest.java",290
94,"Jochen Theodorou","src/test/org/codehaus/groovy/antlr/treewalker/SourcePrinterTest.java",23
95,"Dierk Koenig","src/test/org/codehaus/groovy/antlr/treewalker/SourcePrinterTest.java",4
96,"Jeremy Rayner","src/test/org/codehaus/groovy/antlr/treewalker/LineColumnTest.java",62
97,"Alex Tkachman","src/test/org/codehaus/groovy/antlr/treewalker/LineColumnTest.java",1
98,"Paul King","src/test/org/codehaus/groovy/antlr/treewalker/NodePrinterTest.java",41
99,"Paul King","src/test/org/codehaus/groovy/antlr/treewalker/CompositeVisitorTest.java",95
100,"Jeremy Rayner","src/test/org/codehaus/groovy/antlr/treewalker/UnimplementedSyntaxTest.java",34
101,"Paul King","src/test/org/codehaus/groovy/antlr/treewalker/UnimplementedSyntaxTest.java",197
102,"Jochen Theodorou","src/test/org/codehaus/groovy/antlr/treewalker/UnimplementedSyntaxTest.java",2
103,"Roshan Dawrani","src/test/org/codehaus/groovy/antlr/treewalker/UnimplementedSyntaxTest.java",5
104,"Alexandru Popescu","src/test/org/codehaus/groovy/antlr/treewalker/UnimplementedSyntaxTest.java",13
105,"Alexandru Popescu","src/test/org/codehaus/groovy/antlr/SourceParserTest.java",34
106,"Jeremy Rayner","src/test/org/codehaus/groovy/antlr/SourceBufferTest.java",59
107,"Paul King","src/test/org/codehaus/groovy/antlr/SourceBufferTest.java",29
108,"Alexandru Popescu","src/test/org/codehaus/groovy/antlr/AnnotationSourceParsingTest.java",10
109,"Paul King","src/test/org/codehaus/groovy/antlr/AnnotationSourceParsingTest.java",17
110,"Jochen Theodorou","src/test/org/codehaus/groovy/control/CompilerConfigurationTest.java",247
111,"Franck Rasolo","src/test/org/codehaus/groovy/control/messages/SyntaxErrorMessageTest.java",41
112,"Hamlet D'Arcy","src/test/org/codehaus/groovy/control/io/AbstractReaderSourceTest.java",87
113,"Franck Rasolo","src/test/org/codehaus/groovy/control/CompilationUnitTest.java",39
114,"Paul King","src/test/org/codehaus/groovy/control/CompilationUnitTest.java",2
115,"Jochen Theodorou","src/test/org/codehaus/groovy/control/CompilationUnitTest.java",2
116,"James Strachan","src/test/org/codehaus/groovy/classgen/TestSupport.java",111
117,"Paul King","src/test/org/codehaus/groovy/classgen/TestSupport.java",52
118,"Chris Poirier","src/test/org/codehaus/groovy/classgen/TestSupport.java",1
119,"Russel Winder","src/test/org/codehaus/groovy/classgen/TestSupport.java",2
120,"Jochen Theodorou","src/test/org/codehaus/groovy/classgen/TestSupport.java",3
121,"James Strachan","src/test/org/codehaus/groovy/classgen/ReflectorGeneratorTest.java",6
122,"Paul King","src/test/org/codehaus/groovy/classgen/ReflectorGeneratorTest.java",13
123,"Alex Tkachman","src/test/org/codehaus/groovy/classgen/ReflectorGeneratorTest.java",21
124,"James Strachan","src/test/org/codehaus/groovy/classgen/MethodTest.java",44
125,"Paul King","src/test/org/codehaus/groovy/classgen/MethodTest.java",17
126,"Jochen Theodorou","src/test/org/codehaus/groovy/classgen/MethodTest.java",6
127,"Paul King","src/test/org/codehaus/groovy/classgen/JO.java",15
128,"Alex Tkachman","src/test/org/codehaus/groovy/classgen/JO.java",26
129,"Jochen Theodorou","src/test/org/codehaus/groovy/classgen/JO.java",2
130,"James Strachan","src/test/org/codehaus/groovy/classgen/GetPropertyTest.java",24
131,"Paul King","src/test/org/codehaus/groovy/classgen/GetPropertyTest.java",14
132,"James Strachan","src/test/org/codehaus/groovy/classgen/GroovyClassLoaderTest.java",31
133,"Paul King","src/test/org/codehaus/groovy/classgen/GroovyClassLoaderTest.java",19
