"X","Author","Filename","NumLines"
0,"Willem Ning Jiang","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/MailRouteTest.java",151
1,"Willem Ning Jiang","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/OSGiIntegrationTestSupport.java",82
2,"James Strachan","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/OSGiIntegrationTest.java",31
3,"Willem Ning Jiang","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/OSGiIntegrationTest.java",18
4,"Gert Vanthienen","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/OSGiIntegrationTest.java",1
5,"Willem Ning Jiang","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/OSGiIntegrationSpringTestSupport.java",67
6,"Willem Ning Jiang","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/VelocityTest.java",90
7,"Willem Ning Jiang","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/jaxb/PersonType.java",123
8,"Willem Ning Jiang","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/jaxb/JaxbFallbackConverterTest.java",85
9,"Willem Ning Jiang","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/servlet/support/ServletActivator.java",74
10,"Willem Ning Jiang","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/servlet/ServletComponentTest.java",92
11,"Willem Ning Jiang","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/servlet/ServletProcessor.java",33
12,"Willem Ning Jiang","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/OSGiIntegrationSpringTest.java",47
13,"James Strachan","tests/camel-itest-spring-2.0/src/test/java/org/apache/camel/itest/spring2/JmsRouteTest.java",63
14,"Willem Ning Jiang","tests/camel-itest-spring-2.0/src/test/java/org/apache/camel/itest/spring2/JmsRouteTest.java",2
15,"James Strachan","tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/RouteTest.java",45
16,"Willem Ning Jiang","tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/RouteTest.java",1
17,"James Strachan","tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/MyBean.java",75
18,"Willem Ning Jiang","tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/MyBean.java",2
19,"James Strachan","tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/MyConverter.java",30
20,"Willem Ning Jiang","tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/MyConverter.java",2
21,"Willem Ning Jiang","tests/test-bundles/mock-javamail_1.7/src/main/java/org/jvnet/mock_javamail/SMTPProvider.java",30
22,"Willem Ning Jiang","tests/test-bundles/mock-javamail_1.7/src/main/java/org/jvnet/mock_javamail/POP3Provider.java",31
23,"Willem Ning Jiang","tests/test-bundles/mock-javamail_1.7/src/main/java/org/jvnet/mock_javamail/IMAPProvider.java",31
24,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/tx/JmsToHttpTXWithOnExceptionAndNoTransactionErrorHandlerConfiguredTest.java",89
25,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/tx/JmsToHttpTXWithOnExceptionAndNoTransactionErrorHandlerConfiguredTest.java",10
26,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/tx/JmsToHttpWithOnExceptionRoute.java",95
27,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/tx/JmsToHttpWithOnExceptionRoute.java",3
28,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/tx/JmsToHttpWithOnExceptionAndNoTransactionErrorHandlerConfiguredRoute.java",92
29,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/tx/JmsToHttpWithOnExceptionAndNoTransactionErrorHandlerConfiguredRoute.java",3
30,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/tx/JmsToHttpTXWithRollbackTest.java",63
31,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/tx/JmsToHttpTXWithRollbackTest.java",6
32,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/tx/JmsToHttpRoute.java",88
33,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/tx/JmsToHttpRoute.java",3
34,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/tx/JmsToHttpTXWithOnExceptionTest.java",89
35,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/tx/JmsToHttpTXWithOnExceptionTest.java",11
36,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/tx/JmsToHttpTXTest.java",63
