"X","Author","Filename","NumLines"
0,"Jochen Theodorou","src/test/UberTestCaseGroovySourceSubPackages_VM5.java",18
1,"James Strachan","src/test/org/codehaus/groovy/bsf/CacheBSFTest.java",87
2,"Paul King","src/test/org/codehaus/groovy/bsf/CacheBSFTest.java",50
3,"James Strachan","src/test/org/codehaus/groovy/bsf/BSFTest.java",102
4,"Paul King","src/test/org/codehaus/groovy/bsf/BSFTest.java",109
5,"Martin Kempf","src/test/org/codehaus/groovy/ast/LineColumnChecker.java",460
6,"Jochen Theodorou","src/test/org/codehaus/groovy/ast/LineColumnChecker.java",1
7,"Martin Kempf","src/test/org/codehaus/groovy/ast/ASTTest.java",28
8,"Martin Kempf","src/test/org/codehaus/groovy/ast/VariableExpressionTest.java",71
9,"Martin Kempf","src/test/org/codehaus/groovy/ast/MethodCallExpressionTest.java",73
10,"James Strachan","src/test/org/codehaus/groovy/ast/ModuleNodeTest.java",62
11,"Paul King","src/test/org/codehaus/groovy/ast/ModuleNodeTest.java",11
12,"Jochen Theodorou","src/test/org/codehaus/groovy/ast/ModuleNodeTest.java",1
13,"James Strachan","src/test/org/codehaus/groovy/ast/ClassNodeTest.java",73
14,"Paul King","src/test/org/codehaus/groovy/ast/ClassNodeTest.java",4
15,"Russel Winder","src/test/org/codehaus/groovy/ast/ClassNodeTest.java",1
16,"Jochen Theodorou","src/test/org/codehaus/groovy/ast/ClassNodeTest.java",4
17,"Martin Kempf","src/test/org/codehaus/groovy/ast/LineColumnCheckTestSuite.java",80
18,"Martin Kempf","src/test/org/codehaus/groovy/ast/MethodNodeTest.java",38
19,"James Strachan","src/test/org/codehaus/groovy/runtime/NewStaticMetaMethodTest.java",85
20,"Paul King","src/test/org/codehaus/groovy/runtime/NewStaticMetaMethodTest.java",7
21,"Alex Tkachman","src/test/org/codehaus/groovy/runtime/NewStaticMetaMethodTest.java",4
22,"John Wilson","src/test/org/codehaus/groovy/runtime/NewStaticMetaMethodTest.java",1
23,"Guillaume Laforge","src/test/org/codehaus/groovy/runtime/NewStaticMetaMethodTest.java",3
24,"James Strachan","src/test/org/codehaus/groovy/runtime/InvokeGroovyMethodTest.java",103
25,"Paul King","src/test/org/codehaus/groovy/runtime/InvokeGroovyMethodTest.java",7
26,"Alex Tkachman","src/test/org/codehaus/groovy/runtime/InvokeGroovyMethodTest.java",1
27,"James Strachan","src/test/org/codehaus/groovy/runtime/DummyBean.java",127
28,"Paul King","src/test/org/codehaus/groovy/runtime/DummyBean.java",6
29,"Danno Ferrin","src/test/org/codehaus/groovy/runtime/DummyBean.java",4
30,"James Strachan","src/test/org/codehaus/groovy/runtime/PropertyTest.java",195
31,"Paul King","src/test/org/codehaus/groovy/runtime/PropertyTest.java",63
32,"Alex Tkachman","src/test/org/codehaus/groovy/runtime/JdkDynamicProxyInvocationHandler.java",26
33,"James Strachan","src/test/org/codehaus/groovy/runtime/MethodKeyTest.java",82
34,"Paul King","src/test/org/codehaus/groovy/runtime/MethodKeyTest.java",9
35,"John Wilson","src/test/org/codehaus/groovy/runtime/MethodKeyTest.java",2
36,"Alex Tkachman","src/test/org/codehaus/groovy/runtime/JdkDynamicProxyServiceBean.java",7
37,"James Strachan","src/test/org/codehaus/groovy/runtime/DefaultGroovyMethodsTest.java",87
38,"Dierk Koenig","src/test/org/codehaus/groovy/runtime/DefaultGroovyMethodsTest.java",31
39,"John Wilson","src/test/org/codehaus/groovy/runtime/DefaultGroovyMethodsTest.java",20
40,"Jochen Theodorou","src/test/org/codehaus/groovy/runtime/DefaultGroovyMethodsTest.java",1
41,"Paul King","src/test/org/codehaus/groovy/runtime/DefaultGroovyMethodsTest.java",34
42,"James Strachan","src/test/org/codehaus/groovy/runtime/MockGroovyObject.java",66
43,"Paul King","src/test/org/codehaus/groovy/runtime/MockGroovyObject.java",2
44,"James Strachan","src/test/org/codehaus/groovy/runtime/InvokeConstructorTest.java",90
45,"Paul King","src/test/org/codehaus/groovy/runtime/InvokeConstructorTest.java",5
46,"Jochen Theodorou","src/test/org/codehaus/groovy/runtime/InvokeConstructorTest.java",2
47,"Alex Tkachman","src/test/org/codehaus/groovy/runtime/InvokeConstructorTest.java",1
48,"Graeme Rocher","src/test/org/codehaus/groovy/runtime/MetaClassHelperTest.java",10
49,"James Strachan","src/test/org/codehaus/groovy/runtime/MethodFailureTest.java",103
50,"Paul King","src/test/org/codehaus/groovy/runtime/MethodFailureTest.java",1
51,"Paul King","src/test/org/codehaus/groovy/runtime/InvokerHelperTest.java",36
52,"Alex Tkachman","src/test/org/codehaus/groovy/runtime/StaticInitTest.java",31
53,"James Strachan","src/test/org/codehaus/groovy/runtime/TupleListTest.java",85
54,"Paul King","src/test/org/codehaus/groovy/runtime/TupleListTest.java",8
55,"Alex Tkachman","src/test/org/codehaus/groovy/runtime/JdkDynamicProxyTest.java",31
56,"James Strachan","src/test/org/codehaus/groovy/runtime/InvokerTest.java",136
57,"Dierk Koenig","src/test/org/codehaus/groovy/runtime/InvokerTest.java",13
