"X","Author","Filename","NumLines"
0,"Nick Sieger","maven/jruby-rake-plugin/src/main/java/org/jruby/maven/GemMojo.java",16
1,"Nick Sieger","maven/jruby-rake-plugin/src/main/java/org/jruby/maven/IRBMojo.java",20
2,"Nick Sieger","maven/jruby-rake-plugin/src/main/java/org/jruby/maven/InstallGemsMojo.java",18
3,"Nick Sieger","maven/jruby-rake-plugin/src/main/java/org/jruby/maven/RakeMojo.java",65
4,"Nick Sieger","maven/jruby-rake-plugin/src/main/java/org/jruby/maven/JRubyMojo.java",24
5,"Nick Sieger","maven/jruby-rake-plugin/src/main/java/org/jruby/maven/AbstractJRubyMojo.java",253
6,"Charles Oliver Nutter","src/org/jruby/CompatVersion.java",16
7,"Thomas Enebo","src/org/jruby/RubyFileTest.java",146
8,"Nick Sieger","src/org/jruby/RubyFileTest.java",116
9,"Vladimir Sizikov","src/org/jruby/RubyFileTest.java",68
10,"Charles Oliver Nutter","src/org/jruby/RubyFileTest.java",224
11,"Ola Bini","src/org/jruby/RubyFileTest.java",14
12,"Jan Arne Petersen","src/org/jruby/RubyFileTest.java",1
13,"Marcin Mielżyński","src/org/jruby/RubyFileTest.java",1
14,"David Calavera","src/org/jruby/RubyFileTest.java",36
15,"David Corbin","src/org/jruby/RubyFileTest.java",1
16,"Marcin Mielżyński","src/org/jruby/RubyRational.java",917
17,"Hiro Asari","src/org/jruby/RubyRational.java",51
18,"Thomas E. Enebo","src/org/jruby/RubyRational.java",18
19,"Charles Oliver Nutter","src/org/jruby/RubyRational.java",46
20,"Vladimir Sizikov","src/org/jruby/RubyRational.java",10
21,"David Calavera","src/org/jruby/RubyRational.java",23
22,"Nick Sieger","src/org/jruby/RubyInstanceConfig.java",275
23,"Thomas Enebo","src/org/jruby/RubyInstanceConfig.java",24
24,"Vladimir Sizikov","src/org/jruby/RubyInstanceConfig.java",90
25,"Hiro Asari","src/org/jruby/RubyInstanceConfig.java",105
26,"Charles Oliver Nutter","src/org/jruby/RubyInstanceConfig.java",876
27,"David Calavera","src/org/jruby/RubyInstanceConfig.java",46
28,"Thomas E. Enebo","src/org/jruby/RubyInstanceConfig.java",72
29,"Daniel Lucraft","src/org/jruby/RubyInstanceConfig.java",34
30,"Ola Bini","src/org/jruby/RubyInstanceConfig.java",151
31,"Yoko Harada","src/org/jruby/RubyInstanceConfig.java",33
32,"Hiroshi Nakamura","src/org/jruby/RubyInstanceConfig.java",3
33,"Ola Bini","src/org/jruby/RubyNameError.java",63
34,"Marcin Mielżyński","src/org/jruby/RubyNameError.java",117
35,"Charles Oliver Nutter","src/org/jruby/RubyNameError.java",19
36,"Thomas Enebo","src/org/jruby/RubyNameError.java",20
37,"Ola Bini","src/org/jruby/Profile.java",63
38,"Thomas Enebo","src/org/jruby/RubyFixnum.java",163
39,"David Corbin","src/org/jruby/RubyFixnum.java",1
40,"Charles Oliver Nutter","src/org/jruby/RubyFixnum.java",471
41,"Jan Arne Petersen","src/org/jruby/RubyFixnum.java",39
42,"Ola Bini","src/org/jruby/RubyFixnum.java",208
43,"Marcin Mielżyński","src/org/jruby/RubyFixnum.java",186
44,"Anders Bengtsson","src/org/jruby/RubyFixnum.java",28
45,"Nick Sieger","src/org/jruby/RubyFixnum.java",3
46,"Vladimir Sizikov","src/org/jruby/RubyFixnum.java",21
47,"Thomas E. Enebo","src/org/jruby/RubyFixnum.java",29
48,"Stefan Matthias Aust","src/org/jruby/RubyFixnum.java",2
49,"Olov Lassus","src/org/jruby/RubyFixnum.java",1
50,"David Corbin","src/org/jruby/NativeException.java",54
51,"Charles Oliver Nutter","src/org/jruby/NativeException.java",84
52,"Ola Bini","src/org/jruby/NativeException.java",3
53,"Thomas Enebo","src/org/jruby/NativeException.java",6
54,"David Calavera","src/org/jruby/NativeException.java",13
