"X","Author","Filename","NumLines"
0,"","contrib/instantiated/src/test/org/apache/lucene/store/instantiated/TestEmptyIndex.java",105
1,"Michael McCandless","contrib/instantiated/src/test/org/apache/lucene/store/instantiated/TestEmptyIndex.java",9
2,"","contrib/instantiated/src/test/org/apache/lucene/store/instantiated/TestSerialization.java",58
3,"Grant Ingersoll","contrib/instantiated/src/test/org/apache/lucene/store/instantiated/TestIndicesEquals.java",386
4,"Michael McCandless","contrib/instantiated/src/test/org/apache/lucene/store/instantiated/TestIndicesEquals.java",66
5,"Michael Busch","contrib/instantiated/src/test/org/apache/lucene/store/instantiated/TestIndicesEquals.java",14
6,"","contrib/instantiated/src/test/org/apache/lucene/store/instantiated/TestIndicesEquals.java",44
7,"Uwe Schindler","contrib/instantiated/src/test/org/apache/lucene/store/instantiated/TestIndicesEquals.java",1
8,"","contrib/instantiated/src/test/org/apache/lucene/store/instantiated/TestUnoptimizedReaderOnConstructor.java",72
9,"","contrib/instantiated/src/test/org/apache/lucene/store/instantiated/TestRealTime.java",72
10,"Grant Ingersoll","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedTermPositionVector.java",47
11,"Grant Ingersoll","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedIndexWriter.java",587
12,"","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedIndexWriter.java",84
13,"Yonik Seeley","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedIndexWriter.java",2
14,"Daniel Naber","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedIndexWriter.java",3
15,"Chris M. Hostetter","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedIndexWriter.java",3
16,"Michael McCandless","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedIndexWriter.java",9
17,"Grant Ingersoll","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedTermPositions.java",99
18,"Chris M. Hostetter","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedTermPositions.java",1
19,"","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/FieldSetting.java",63
20,"Grant Ingersoll","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedIndex.java",258
21,"","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedIndex.java",97
22,"Chris M. Hostetter","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedIndex.java",2
23,"","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/FieldSettings.java",95
24,"Chris M. Hostetter","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/FieldSettings.java",1
25,"Grant Ingersoll","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedDocument.java",79
26,"Grant Ingersoll","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedTermEnum.java",108
27,"","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedTermEnum.java",5
28,"Grant Ingersoll","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedTermDocs.java",131
29,"Grant Ingersoll","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedTerm.java",244
30,"Chris M. Hostetter","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedTerm.java",6
31,"Grant Ingersoll","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedTermDocumentInformation.java",138
32,"Chris M. Hostetter","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedTermDocumentInformation.java",1
33,"Grant Ingersoll","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedIndexReader.java",268
34,"","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedIndexReader.java",122
35,"Chris M. Hostetter","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedIndexReader.java",4
36,"Grant Ingersoll","contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedTermFreqVector.java",112
37,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/spans/SpansQueryConfigHandler.java",43
38,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/spans/SpanOrQueryNodeBuilder.java",54
39,"Michael McCandless","contrib/queryparser/src/test/org/apache/lucene/queryParser/spans/SpanOrQueryNodeBuilder.java",2
40,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/spans/UniqueFieldQueryNodeProcessor.java",84
41,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/spans/SpansValidatorQueryNodeProcessor.java",72
42,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/spans/TestSpanQueryParserSimpleSample.java",150
43,"Michael McCandless","contrib/queryparser/src/test/org/apache/lucene/queryParser/spans/TestSpanQueryParserSimpleSample.java",5
44,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/spans/UniqueFieldAttribute.java",35
45,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/spans/SpanTermQueryNodeBuilder.java",39
46,"Michael McCandless","contrib/queryparser/src/test/org/apache/lucene/queryParser/spans/SpanTermQueryNodeBuilder.java",2
47,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/spans/UniqueFieldAttributeImpl.java",93
48,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/spans/TestSpanQueryParser.java",227
49,"Michael McCandless","contrib/queryparser/src/test/org/apache/lucene/queryParser/spans/TestSpanQueryParser.java",5
50,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/spans/SpansQueryTreeBuilder.java",49
51,"Michael McCandless","contrib/queryparser/src/test/org/apache/lucene/queryParser/spans/SpansQueryTreeBuilder.java",2
52,"Michael McCandless","contrib/queryparser/src/test/org/apache/lucene/queryParser/standard/TestMultiAnalyzerQPHelper.java",5
53,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/standard/TestMultiAnalyzerQPHelper.java",321
54,"Michael McCandless","contrib/queryparser/src/test/org/apache/lucene/queryParser/standard/TestMultiFieldQueryParserWrapper.java",3
55,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/standard/TestMultiFieldQueryParserWrapper.java",363
