Author,File,NumLines
,hbase-shell/src/main/ruby,18.0
,hbase-shell/src/main/ruby/hbase,82.0
,hbase-shell/src/main/ruby/shell,3.0
,hbase-shell/src/main/ruby/shell/commands,197.0
Andrew Kyle Purtell,hbase-shell/src/main/ruby,38.0
Andrew Kyle Purtell,hbase-shell/src/main/ruby/hbase,70.0
Andrew Kyle Purtell,hbase-shell/src/main/ruby/irb,19.0
Andrew Kyle Purtell,hbase-shell/src/main/ruby/shell,38.0
Andrew Kyle Purtell,hbase-shell/src/main/ruby/shell/commands,589.0
Andrew Kyle Purtell,hbase-shell/src/test/ruby,19.0
Andrew Kyle Purtell,hbase-shell/src/test/ruby/hbase,105.0
Andrew Kyle Purtell,hbase-shell/src/test/ruby/shell,57.0
Devaraj Das,hbase-shell/src/main/ruby/hbase,105.0
Devaraj Das,hbase-shell/src/main/ruby/shell/commands,3.0
Enis Soztutar,hbase-shell/src/main/ruby/hbase,7.0
Gary Helmling,hbase-shell/src/main/ruby,16.0
Gary Helmling,hbase-shell/src/main/ruby/hbase,80.0
Gary Helmling,hbase-shell/src/main/ruby/shell,3.0
Gary Helmling,hbase-shell/src/main/ruby/shell/commands,119.0
Jonathan Hsieh,hbase-shell/src/main/ruby,13.0
Jonathan Hsieh,hbase-shell/src/main/ruby/hbase,39.0
Jonathan Hsieh,hbase-shell/src/main/ruby/shell/commands,248.0
Kannan Muthukkaruppan,hbase-shell/src/main/ruby,2.0
Kannan Muthukkaruppan,hbase-shell/src/main/ruby/hbase,1.0
Kannan Muthukkaruppan,hbase-shell/src/main/ruby/shell/commands,3.0
Michael Stack,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/mapreduce,58.0
Michael Stack,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/master,80.0
Michael Stack,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/metrics,52.0
Michael Stack,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/regionserver,18.0
Michael Stack,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/regionserver/wal,75.0
Michael Stack,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/replication/regionserver,5.0
Michael Stack,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/rest,92.0
Michael Stack,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/thrift,125.0
Michael Stack,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/metrics2/impl,3.0
Michael Stack,hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase,43.0
Michael Stack,hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/replication/regionserver,1.0
Michael Stack,hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/rest,4.0
Michael Stack,hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/test,199.0
Michael Stack,hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/thrift,45.0
Michael Stack,hbase-shell/src/main/ruby,330.0
Michael Stack,hbase-shell/src/main/ruby/hbase,1162.0
Michael Stack,hbase-shell/src/main/ruby/irb,40.0
Michael Stack,hbase-shell/src/main/ruby/shell,213.0
Michael Stack,hbase-shell/src/main/ruby/shell/commands,1508.0
Michael Stack,hbase-shell/src/test/java/org/apache/hadoop/hbase/client,71.0
Michael Stack,hbase-shell/src/test/ruby,139.0
Michael Stack,hbase-shell/src/test/ruby/hbase,801.0
Michael Stack,hbase-shell/src/test/ruby/shell,113.0
Nicolas Spiegelberg,hbase-shell/src/main/ruby,2.0
Nicolas Spiegelberg,hbase-shell/src/main/ruby/hbase,36.0
Nicolas Spiegelberg,hbase-shell/src/main/ruby/shell/commands,112.0
Todd Lipcon,hbase-shell/src/main/ruby/hbase,4.0
Todd Lipcon,hbase-shell/src/main/ruby/shell,5.0
Todd Lipcon,hbase-shell/src/main/ruby/shell/commands,9.0
Todd Lipcon,hbase-shell/src/test/ruby/hbase,1.0
Todd Lipcon,hbase-shell/src/test/ruby/shell,1.0
Zhihong Yu,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/master,32.0
Zhihong Yu,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/metrics,141.0
Zhihong Yu,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/regionserver,22.0
Zhihong Yu,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/replication/regionserver,28.0
Zhihong Yu,hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/master,33.0
Zhihong Yu,hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/metrics,85.0
Zhihong Yu,hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/regionserver,33.0
Zhihong Yu,hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/replication/regionserver,31.0
Zhihong Yu,hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/rest,30.0
Zhihong Yu,hbase-shell/src/main/ruby,6.0
Zhihong Yu,hbase-shell/src/main/ruby/hbase,63.0
Zhihong Yu,hbase-shell/src/main/ruby/shell/commands,244.0
Zhihong Yu,hbase-shell/src/test/java/org/apache/hadoop/hbase/client,3.0
eclark,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/ipc,183.0
eclark,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/master,235.0
eclark,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/master/balancer,57.0
eclark,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/metrics,32.0
eclark,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/regionserver,514.0
eclark,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/regionserver/wal,82.0
eclark,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/replication/regionserver,9.0
eclark,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/rest,7.0
eclark,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/thrift,26.0
eclark,hbase-hadoop1-compat/src/main/java/org/apache/hadoop/metrics2/impl,75.0
eclark,hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/master,11.0
eclark,hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/metrics,6.0
eclark,hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/regionserver,139.0
eclark,hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/regionserver/wal,37.0
