"Author","File","NumLines"
"Amareshwari Sri Ramadasu","contrib/src/java/org/apache/hadoop/hive/contrib/util/typedbytes",13
"Amareshwari Sri Ramadasu","hwi/src/java/org/apache/hadoop/hive/hwi",2
"Ashish Thusoo","contrib/src/java/org/apache/hadoop/hive/contrib/udaf/example",352
"Ashish Thusoo","hwi/src/java/org/apache/hadoop/hive/hwi",93
"Ashish Thusoo","hwi/src/test/org/apache/hadoop/hive/hwi",12
"Ashutosh Chauhan","hwi/src/java/org/apache/hadoop/hive/hwi",1
"Carl Steinbach","builtins/src/org/apache/hive/builtins",155
"Carl Steinbach","contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64",5
"Carl Steinbach","contrib/src/java/org/apache/hadoop/hive/contrib/serde2",2
"Carl Steinbach","contrib/src/java/org/apache/hadoop/hive/contrib/serde2/s3",1
"Carl Steinbach","contrib/src/java/org/apache/hadoop/hive/contrib/udf",1
"Carl Steinbach","contrib/src/java/org/apache/hadoop/hive/contrib/util/typedbytes",5
"Carl Steinbach","hwi/src/java/org/apache/hadoop/hive/hwi",7
"Dhruba Borthakur","contrib/src/java/org/apache/hadoop/hive/contrib/udaf/example",4
"John Sichi","contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64",29
"John Sichi","contrib/src/java/org/apache/hadoop/hive/contrib/metastore/hooks",18
"John Sichi","contrib/src/java/org/apache/hadoop/hive/contrib/serde2/s3",18
"John Sichi","contrib/src/java/org/apache/hadoop/hive/contrib/util/typedbytes",22
"John Sichi","hwi/src/java/org/apache/hadoop/hive/hwi",76
"John Sichi","hwi/src/test/org/apache/hadoop/hive/hwi",24
"Namit Jain","contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64",242
"Namit Jain","contrib/src/java/org/apache/hadoop/hive/contrib/genericudf/example",100
"Namit Jain","contrib/src/java/org/apache/hadoop/hive/contrib/metastore/hooks",30
"Namit Jain","contrib/src/java/org/apache/hadoop/hive/contrib/mr",273
"Namit Jain","contrib/src/java/org/apache/hadoop/hive/contrib/mr/example",73
"Namit Jain","contrib/src/java/org/apache/hadoop/hive/contrib/serde2",183
"Namit Jain","contrib/src/java/org/apache/hadoop/hive/contrib/serde2/s3",152
"Namit Jain","contrib/src/java/org/apache/hadoop/hive/contrib/udaf/example",294
"Namit Jain","contrib/src/java/org/apache/hadoop/hive/contrib/udf",45
"Namit Jain","contrib/src/java/org/apache/hadoop/hive/contrib/udf/example",176
"Namit Jain","contrib/src/java/org/apache/hadoop/hive/contrib/udtf/example",64
"Namit Jain","contrib/src/java/org/apache/hadoop/hive/contrib/util/typedbytes",48
"Namit Jain","contrib/src/test/org/apache/hadoop/hive/contrib/mr",88
"Namit Jain","contrib/src/test/org/apache/hadoop/hive/contrib/serde2",67
"Namit Jain","hwi/src/java/org/apache/hadoop/hive/hwi",264
"Namit Jain","hwi/src/test/org/apache/hadoop/hive/hwi",63
"Ning Zhang","contrib/src/java/org/apache/hadoop/hive/contrib/serde2",18
