File,SLOC,Comments,Ratio_code_comment,McCabe,NumFiles,Ownership_Lines,Minor_Lines,Major_lines,LineAuthors,Commits,LineAdded,LineDeleted,CommitAuthors,Ownership_Commits,Minor_Commits,Major_Commits,HasBug,BugCount
hbase-shell/src/test/ruby,96,42,0.455,3.0,2,0.879746835443038,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-shell/src/test/ruby/hbase,665,95,0.3333333333333333,0.0,3,0.8763676148796499,3,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-shell/src/test/ruby/shell,81,66,0.93,0.0,3,0.6608187134502924,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-shell/src/test/java/org/apache/hadoop/hbase/client,42,21,0.5,0.0,1,0.9594594594594594,1,1,2,3.0,45.0,32.0,2.0,0.6666666666666666,0.0,2.0,0.0,0.0
hbase-shell/src/main/ruby,218,63,0.42000000000000004,3.5,2,0.7728337236533958,8,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-shell/src/main/ruby/hbase,1055,391,0.548,36.0,5,0.6712882726747544,17,2,19,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
hbase-shell/src/main/ruby/shell,178,58,0.33999999999999997,10.5,2,0.7947761194029851,4,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-shell/src/main/ruby/shell/commands,1094,1229,1.1636764705882352,0.11764705882352941,68,0.4751102709514808,11,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-shell/src/main/ruby/irb,23,33,1.43,2.0,1,0.6779661016949152,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase,12,27,2.25,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/thrift,25,22,0.88,0.0,1,0.8181818181818182,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/test,165,21,0.13,1.0,1,0.8883928571428571,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/rest,14,20,1.43,0.0,1,0.75,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/regionserver,96,41,0.65,0.0,2,0.8081395348837209,0,2,2,2.0,27.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0
hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/regionserver/wal,15,17,1.13,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/metrics,57,20,0.35,0.0,1,0.9340659340659341,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/replication/regionserver,14,20,1.43,0.0,1,0.7948717948717948,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-hadoop1-compat/src/test/java/org/apache/hadoop/hbase/master,18,20,1.11,0.0,1,0.75,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/thrift,81,47,0.7549999999999999,0.0,2,0.8278145695364238,0,2,2,1.0,12.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0
hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/mapreduce,24,28,1.17,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/rest,60,23,0.38,0.0,1,0.9292929292929293,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/regionserver,373,94,0.4,2.0,4,0.927797833935018,2,1,3,2.0,26.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0
hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/regionserver/wal,87,45,0.515,0.0,2,0.5222929936305732,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/metrics,102,90,1.84,0.5,2,0.6266666666666667,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/replication/regionserver,14,23,1.64,0.0,1,0.6666666666666666,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/master,196,100,0.634,0.4,5,0.6752873563218391,1,3,4,1.0,1.0,70.0,1.0,1.0,0.0,1.0,0.0,0.0
hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/master/balancer,29,17,0.59,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbase-hadoop1-compat/src/main/java/org/apache/hadoop/hbase/ipc,117,38,0.45499999999999996,1.0,2,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
