"File","SLOC","Comments","Ratio_code_comment","McCabe","NumFiles","Ownership_Lines","Minor_Lines","Major_lines","LineAuthors","Commits","LineAdded","LineDeleted","CommitAuthors","Ownership_Commits","Minor_Commits","Major_Commits","HasBug","BugCount"
"contrib/src/test/org/apache/hadoop/hive/contrib/mr",91,22,0.24,4,1,0.642335766423358,0,2,2,0,0,0,0,0,0,0,0,0
"contrib/src/test/org/apache/hadoop/hive/contrib/serde2",53,30,0.57,0,1,0.683673469387755,0,2,2,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64",206,86,0.425,6.5,2,0.718100890207715,1,3,4,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/udaf/example",627,281,1.19,8.71428571428571,7,0.329279700654818,2,5,7,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/mr",156,130,5.17,1.25,4,0.850467289719626,0,2,2,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/mr/example",37,43,1.18,0.5,2,0.802197802197802,0,2,2,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/genericudf/example",117,43,0.37,9,1,0.568181818181818,0,2,2,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/serde2",471,113,0.285,13,2,0.690076335877863,2,2,4,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/serde2/s3",154,74,0.785,4,2,0.591439688715953,2,3,5,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/udf",19,21,1.11,0,1,0.978260869565217,1,1,2,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/udf/example",85,105,1.476,2.4,5,0.814814814814815,0,2,2,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/metastore/hooks",19,21,1.11,2,1,0.625,0,2,2,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/util/typedbytes",1389,644,0.676,19.2,10,0.941150828247602,5,1,6,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/udtf/example",84,43,0.545,1.5,2,0.423841059602649,0,3,3,0,0,0,0,0,0,0,0,0
"builtins/src/org/apache/hive/builtins",86,51,2.925,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"hwi/src/test/org/apache/hadoop/hive/hwi",212,57,0.385,7.5,2,0.684375,2,3,5,0,0,0,0,0,0,0,0,0
"hwi/src/java/org/apache/hadoop/hive/hwi",659,412,0.886666666666667,11.5,6,0.6275,4,4,8,1,1,1,1,1,0,1,0,0
"ant/src/org/apache/hadoop/hive/ant",316,61,0.515,17,2,0.442553191489362,4,3,7,0,0,0,0,0,0,0,0,0
"jdbc/src/test/org/apache/hadoop/hive/jdbc",809,93,0.11,33,1,0.401515151515151,3,6,9,1,35,16,1,1,0,1,0,0
"jdbc/src/java/org/apache/hadoop/hive/jdbc",3715,2990,0.840714285714286,14.5714285714286,14,0.50104795956109,6,3,9,3,116,99,2,0.666666666666667,0,2,0,0
"shims/src/0.20/java/org/apache/hadoop/hive/shims",463,121,0.6,7,3,0.476401179941003,5,5,10,2,20,4,1,1,0,1,1,4
"shims/src/0.23/java/org/apache/hadoop/hive/shims",67,41,0.625,0,2,0.974789915966387,1,1,2,3,492,975,1,1,0,1,1,3
"shims/src/test/org/apache/hadoop/hive/thrift",416,78,0.175,3,2,0.530465949820789,0,3,3,3,23,14,1,1,0,1,0,0
"shims/src/0.20S/java/org/apache/hadoop/hive/shims",64,37,0.58,0,2,0.68141592920354,2,2,4,4,516,1003,2,0.75,0,2,1,3
"shims/src/common-secure/java/org/apache/hadoop/hive/thrift",1214,381,1.07875,11.875,8,0.600455321570859,3,3,6,3,216,133,1,1,0,1,1,1
"shims/src/common-secure/java/org/apache/hadoop/hive/thrift/client",39,29,0.74,2,1,0.986486486486487,1,1,2,0,0,0,0,0,0,0,0,0
"shims/src/common-secure/java/org/apache/hadoop/hive/shims",377,72,0.19,18,1,0.99811320754717,1,1,2,2,1,535,2,0.5,0,2,1,3
"shims/src/common-secure/java/org/apache/hadoop/security/token/delegation",39,21,0.54,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"shims/src/common/java/org/apache/hadoop/hive/thrift",131,92,0.79,0.333333333333333,3,0.705660377358491,1,3,4,1,14,0,1,1,0,1,1,1
"shims/src/common/java/org/apache/hadoop/hive/shims",205,242,1.3275,2,4,0.441509433962264,5,4,9,7,35,13,3,0.428571428571429,0,3,1,4
